page_id	scan_page	baseline_chars	class	notes
chunk_021:p0001	0001	0	false-empty	baseline OCR empty; image recovers handwritten title `1850-1900`
chunk_021:p0002	0002	334	usable-with-noise	
chunk_021:p0003	0003	2220	usable-with-noise	
chunk_021:p0004	0004	1657	usable-with-noise	
chunk_021:p0005	0005	3244	usable-with-noise	
chunk_021:p0006	0006	4239	usable-with-noise	
chunk_021:p0007	0007	5334	usable-with-noise	
chunk_021:p0008	0008	4130	usable-with-noise	
chunk_021:p0009	0009	4197	usable-with-noise	
chunk_021:p0010	0010	4034	usable-with-noise	
chunk_021:p0011	0011	3527	usable-with-noise	
chunk_021:p0012	0012	2010	usable-with-noise	
chunk_021:p0013	0013	624	high-noise	mounted/compound page or dense multi-zone layout; OCR under-captures or has unstable reading order; quotation unsafe without image check
chunk_021:p0014	0014	3332	usable-with-noise	
chunk_021:p0015	0015	5565	usable-with-noise	
chunk_021:p0016	0016	4801	usable-with-noise	
chunk_021:p0017	0017	1144	usable-with-noise	
chunk_021:p0018	0018	1437	usable-with-noise	
chunk_021:p0019	0019	754	usable-with-noise	
chunk_021:p0020	0020	629	high-noise	mounted/compound page or dense multi-zone layout; OCR under-captures or has unstable reading order; quotation unsafe without image check
chunk_021:p0021	0021	3406	usable-with-noise	
chunk_021:p0022	0022	4643	usable-with-noise	
chunk_021:p0023	0023	4166	usable-with-noise	
chunk_021:p0024	0024	4229	usable-with-noise	
chunk_021:p0025	0025	3591	usable-with-noise	
chunk_021:p0026	0026	2537	usable-with-noise	
chunk_021:p0027	0027	1134	usable-with-noise	
chunk_021:p0028	0028	786	high-noise	handwriting-model drift / multilingual or generic-text hallucination; OCR retrieval only, quotation unsafe
chunk_021:p0029	0029	700	high-noise	handwriting-model drift / multilingual or generic-text hallucination; OCR retrieval only, quotation unsafe
chunk_021:p0030	0030	2579	usable-with-noise	
chunk_021:p0031	0031	4381	usable-with-noise	
