page_span	ocr_signal	class	segment	flags
p0161	raw_ocr_present_not_semantically_proofread	blank-no-substantive-visual	tail_p0161-p0243	visual_checked;visual_blank_or_no_substantive
p0162	raw_ocr_present_not_semantically_proofread	high-noise-layout-risk	tail_p0161-p0243	visual_checked;mounted_slip_or_composite_layout;reading_order_risk;small_source_regions;dark_mounting_board
p0163	raw_ocr_present_not_semantically_proofread	high-noise-layout-risk	tail_p0161-p0243	visual_checked;mounted_slip_or_composite_layout;reading_order_risk;small_source_regions;dark_mounting_board
p0164	raw_ocr_present_not_semantically_proofread	high-noise-layout-risk	tail_p0161-p0243	visual_checked;mounted_slip_or_composite_layout;reading_order_risk;small_source_regions;dark_mounting_board
p0165	raw_ocr_present_not_semantically_proofread	high-noise-layout-risk	tail_p0161-p0243	visual_checked;mounted_slip_or_composite_layout;reading_order_risk;small_source_regions;dark_mounting_board
p0166	raw_ocr_present_not_semantically_proofread	high-noise-layout-risk	tail_p0161-p0243	visual_checked;mounted_slip_or_composite_layout;reading_order_risk;small_source_regions;dark_mounting_board
p0167	raw_ocr_present_not_semantically_proofread	high-noise-layout-risk	tail_p0161-p0243	visual_checked;mounted_slip_or_composite_layout;reading_order_risk;small_source_regions;dark_mounting_board
p0168	raw_ocr_present_not_semantically_proofread	blank-no-substantive-visual	tail_p0161-p0243	visual_checked;visual_blank_or_no_substantive
p0169	raw_ocr_present_not_semantically_proofread	high-noise-layout-risk	tail_p0161-p0243	visual_checked;mounted_slip_or_composite_layout;reading_order_risk;small_source_regions;dark_mounting_board
p0170	raw_ocr_present_not_semantically_proofread	high-noise-layout-risk	tail_p0161-p0243	visual_checked;mounted_slip_or_composite_layout;reading_order_risk;small_source_regions;dark_mounting_board
p0171	raw_ocr_present_not_semantically_proofread	high-noise-layout-risk	tail_p0161-p0243	visual_checked;mounted_slip_or_composite_layout;reading_order_risk;small_source_regions;dark_mounting_board
p0172	raw_ocr_present_not_semantically_proofread	high-noise-layout-risk	tail_p0161-p0243	visual_checked;mounted_slip_or_composite_layout;reading_order_risk;small_source_regions;dark_mounting_board
p0173	raw_ocr_present_not_semantically_proofread	high-noise-layout-risk	tail_p0161-p0243	visual_checked;mounted_slip_or_composite_layout;reading_order_risk;small_source_regions;dark_mounting_board
p0174	raw_ocr_present_not_semantically_proofread	blank-no-substantive-visual	tail_p0161-p0243	visual_checked;visual_blank_or_no_substantive
p0175	raw_ocr_present_not_semantically_proofread	high-noise-layout-risk	tail_p0161-p0243	visual_checked;mounted_slip_or_composite_layout;reading_order_risk;small_source_regions;dark_mounting_board
p0176	raw_ocr_present_not_semantically_proofread	high-noise-layout-risk	tail_p0161-p0243	visual_checked;mounted_slip_or_composite_layout;reading_order_risk;small_source_regions;dark_mounting_board
p0177	raw_ocr_present_not_semantically_proofread	blank-no-substantive-visual	tail_p0161-p0243	visual_checked;visual_blank_or_no_substantive
p0178	raw_ocr_present_not_semantically_proofread	high-noise-layout-risk	tail_p0161-p0243	visual_checked;mounted_slip_or_composite_layout;reading_order_risk;small_source_regions;dark_mounting_board
p0179	raw_ocr_present_not_semantically_proofread	high-noise-layout-risk	tail_p0161-p0243	visual_checked;mounted_slip_or_composite_layout;reading_order_risk;small_source_regions;dark_mounting_board
p0180	raw_ocr_present_not_semantically_proofread	high-noise-layout-risk	tail_p0161-p0243	visual_checked;mounted_slip_or_composite_layout;reading_order_risk;small_source_regions;dark_mounting_board
p0181	raw_ocr_present_not_semantically_proofread	blank-no-substantive-visual	tail_p0161-p0243	visual_checked;visual_blank_or_no_substantive
p0182	raw_ocr_present_not_semantically_proofread	high-noise-layout-risk	tail_p0161-p0243	visual_checked;mounted_slip_or_composite_layout;reading_order_risk;small_source_regions;dark_mounting_board
p0183	raw_ocr_present_not_semantically_proofread	high-noise-layout-risk	tail_p0161-p0243	visual_checked;mounted_slip_or_composite_layout;reading_order_risk;small_source_regions;dark_mounting_board
p0184	raw_ocr_present_not_semantically_proofread	blank-no-substantive-visual	tail_p0161-p0243	visual_checked;visual_blank_or_no_substantive
p0185	raw_ocr_present_not_semantically_proofread	high-noise-layout-risk	tail_p0161-p0243	visual_checked;mounted_slip_or_composite_layout;reading_order_risk;small_source_regions;dark_mounting_board
p0186	raw_ocr_present_not_semantically_proofread	high-noise-layout-risk	tail_p0161-p0243	visual_checked;mounted_slip_or_composite_layout;reading_order_risk;small_source_regions;dark_mounting_board
p0187	raw_ocr_present_not_semantically_proofread	high-noise-layout-risk	tail_p0161-p0243	visual_checked;mounted_slip_or_composite_layout;reading_order_risk;small_source_regions;dark_mounting_board
p0188	raw_ocr_present_not_semantically_proofread	blank-no-substantive-visual	tail_p0161-p0243	visual_checked;visual_blank_or_no_substantive
p0189	raw_ocr_present_not_semantically_proofread	high-noise-layout-risk	tail_p0161-p0243	visual_checked;mounted_slip_or_composite_layout;reading_order_risk;small_source_regions;dark_mounting_board
p0190	raw_ocr_present_not_semantically_proofread	high-noise-layout-risk	tail_p0161-p0243	visual_checked;mounted_slip_or_composite_layout;reading_order_risk;small_source_regions;dark_mounting_board
p0191	raw_ocr_present_not_semantically_proofread	blank-no-substantive-visual	tail_p0161-p0243	visual_checked;visual_blank_or_no_substantive
p0192	raw_ocr_present_not_semantically_proofread	high-noise-layout-risk	tail_p0161-p0243	visual_checked;mounted_slip_or_composite_layout;reading_order_risk;small_source_regions;dark_mounting_board
p0193	raw_ocr_present_not_semantically_proofread	high-noise-layout-risk	tail_p0161-p0243	visual_checked;mounted_slip_or_composite_layout;reading_order_risk;small_source_regions;dark_mounting_board
p0194	raw_ocr_present_not_semantically_proofread	high-noise-layout-risk	tail_p0161-p0243	visual_checked;mounted_slip_or_composite_layout;reading_order_risk;small_source_regions;dark_mounting_board
p0195	raw_ocr_present_not_semantically_proofread	blank-no-substantive-visual	tail_p0161-p0243	visual_checked;visual_blank_or_no_substantive
p0196	raw_ocr_present_not_semantically_proofread	high-noise-layout-risk	tail_p0161-p0243	visual_checked;mounted_slip_or_composite_layout;reading_order_risk;small_source_regions;dark_mounting_board
p0197	raw_ocr_present_not_semantically_proofread	short-text-or-nontext	tail_p0161-p0243	visual_checked;sparse_source_object;minimal_substantive_text
p0198	raw_ocr_present_not_semantically_proofread	blank-no-substantive-visual	tail_p0161-p0243	visual_checked;visual_blank_or_no_substantive
p0199	raw_ocr_present_not_semantically_proofread	high-noise-layout-risk	tail_p0161-p0243	visual_checked;mounted_slip_or_composite_layout;reading_order_risk;small_source_regions;dark_mounting_board
p0200	raw_ocr_present_not_semantically_proofread	usable-with-noise-visual	tail_p0161-p0243	visual_checked;large_linear_source_region;retrieval_usable;scan_verify_for_quotation
p0201	raw_ocr_present_not_semantically_proofread	usable-with-noise-visual	tail_p0161-p0243	visual_checked;large_linear_source_region;retrieval_usable;scan_verify_for_quotation
p0202	raw_ocr_present_not_semantically_proofread	blank-no-substantive-visual	tail_p0161-p0243	visual_checked;visual_blank_or_no_substantive
p0203	raw_ocr_present_not_semantically_proofread	high-noise-layout-risk	tail_p0161-p0243	visual_checked;mounted_slip_or_composite_layout;reading_order_risk;small_source_regions;dark_mounting_board
p0204	raw_ocr_present_not_semantically_proofread	high-noise-layout-risk	tail_p0161-p0243	visual_checked;mounted_slip_or_composite_layout;reading_order_risk;small_source_regions;dark_mounting_board
p0205	raw_ocr_present_not_semantically_proofread	high-noise-layout-risk	tail_p0161-p0243	visual_checked;mounted_slip_or_composite_layout;reading_order_risk;small_source_regions;dark_mounting_board
p0206	raw_ocr_present_not_semantically_proofread	blank-no-substantive-visual	tail_p0161-p0243	visual_checked;visual_blank_or_no_substantive
