page_id	visual_class	note
p0008	false-empty-recovery	Substantive mounted board or working sheet visible despite empty baseline OCR; exact quotation requires direct scan reading.
p0009	false-empty-recovery	Substantive mounted board or working sheet visible despite empty baseline OCR; exact quotation requires direct scan reading.
p0025	blank-no-substantive	No substantive text visible; blank card/sheet/cover or blank side.
p0026	blank-no-substantive	No substantive text visible; blank card/sheet/cover or blank side.
p0028	false-empty-recovery	Substantive mounted board or working sheet visible despite empty baseline OCR; exact quotation requires direct scan reading.
p0029	blank-no-substantive	No substantive text visible; blank card/sheet/cover or blank side.
p0032	blank-no-substantive	No substantive text visible; blank card/sheet/cover or blank side.
p0044	blank-no-substantive	No substantive text visible; blank card/sheet/cover or blank side.
p0045	blank-no-substantive	No substantive text visible; blank card/sheet/cover or blank side.
p0046	short-text	Exact Laura Spelman Rockefeller Memorial / 61 Broadway / New York letterhead visible; baseline OCR empty.
p0053	false-empty-recovery	Substantive mounted board or working sheet visible despite empty baseline OCR; exact quotation requires direct scan reading.
p0055	short-text	Exact Laura Spelman Rockefeller Memorial / 61 Broadway / New York letterhead visible; baseline OCR empty.
p0058	false-empty-recovery	Substantive mounted board or working sheet visible despite empty baseline OCR; exact quotation requires direct scan reading.
p0059	short-text	Exact Laura Spelman Rockefeller Memorial / 61 Broadway / New York letterhead visible; baseline OCR empty.
p0068	false-empty-recovery	Substantive mounted board or working sheet visible despite empty baseline OCR; exact quotation requires direct scan reading.
p0082	short-text	Exact Laura Spelman Rockefeller Memorial / 61 Broadway / New York letterhead visible; baseline OCR empty.
p0083	false-empty-recovery	Substantive mounted board or working sheet visible despite empty baseline OCR; exact quotation requires direct scan reading.
p0088	short-text	Exact Laura Spelman Rockefeller Memorial / 61 Broadway / New York letterhead visible; baseline OCR empty.
p0089	false-empty-recovery	Substantive mounted board or working sheet visible despite empty baseline OCR; exact quotation requires direct scan reading.
p0099	short-text	Exact Laura Spelman Rockefeller Memorial / 61 Broadway / New York letterhead visible; baseline OCR empty.
p0106	false-empty-recovery	Substantive manuscript/working sheet visible despite empty baseline OCR; exact quotation requires direct scan reading.
p0113	short-text	Exact Laura Spelman Rockefeller Memorial / 61 Broadway / New York letterhead visible; baseline OCR empty.
p0127	short-text	Exact Laura Spelman Rockefeller Memorial / 61 Broadway / New York letterhead visible; baseline OCR empty.
p0132	short-text	Exact Laura Spelman Rockefeller Memorial / 61 Broadway / New York letterhead visible; baseline OCR empty.
p0152	blank-no-substantive	No substantive text visible; blank card/sheet/cover or blank side.
p0170	blank-no-substantive	Blank side/verso with show-through only; no substantive recto text visible.
p0171	short-text	Very sparse pencil annotation visible on otherwise blank sheet; baseline OCR empty.
p0173	blank-no-substantive	No substantive text visible; blank card/sheet/cover or blank side.
p0181	false-empty-recovery	Substantive manuscript/working sheet visible despite empty baseline OCR; exact quotation requires direct scan reading.
p0216	short-text	Tiny handwritten annotation visible at lower right of otherwise blank sheet; baseline OCR empty.
p0225	false-empty-recovery	Substantive manuscript/working sheet visible despite empty baseline OCR; exact quotation requires direct scan reading.
p0230	blank-no-substantive	No substantive text visible; blank card/sheet/cover or blank side.
p0231	blank-no-substantive	No substantive text visible; blank card/sheet/cover or blank side.
p0234	blank-no-substantive	No substantive text visible; blank card/sheet/cover or blank side.
p0238	blank-no-substantive	No substantive text visible; blank card/sheet/cover or blank side.
p0239	false-empty-recovery	Substantive mounted board or working sheet visible despite empty baseline OCR; exact quotation requires direct scan reading.
p0240	false-empty-recovery	Substantive mounted board or working sheet visible despite empty baseline OCR; exact quotation requires direct scan reading.
p0241	blank-no-substantive	No substantive text visible; blank card/sheet/cover or blank side.
p0242	false-empty-recovery	Substantive mounted board or working sheet visible despite empty baseline OCR; exact quotation requires direct scan reading.
p0244	blank-no-substantive	No substantive text visible; blank card/sheet/cover or blank side.
p0246	false-empty-recovery	Substantive mounted board or working sheet visible despite empty baseline OCR; exact quotation requires direct scan reading.
