span	layout	note
p0001-p0007	loose manuscript notes	Continuation of chunk 030's medieval Zeeland/Flanders packet. p0001 is headed “De naam Zeeland”; the sequence works through place-name, settlement and source references around Zeeland/Walcheren.
p0008-p0034	mounted boards, maps and loose cards	Burg/Kerspel, Middelburg/Souburg/Domburg and related medieval-historical geography. Multi-slip pages have strong physical reading-order risk. p0008, p0009 and p0028 are substantive baseline-empty recoveries.
p0035-p0041	loose Furnes/Veurne notes	Short French-language reconstruction/topography notes around Furnes/Veurne and urban form; simple physical order but handwriting OCR is incomplete.
p0042-p0043	Belgian Royal Library request forms	Koninklijke Bibliotheek van België / Bibliothèque Royale de Belgique forms. p0042 visibly carries Huizinga’s name and a handwritten source note; direct research-infrastructure evidence.
p0044-p0046	blank separators and stationery	p0044-p0045 are blank; p0046 is an exact Laura Spelman Rockefeller Memorial letterhead missed by baseline OCR.
p0047-p0150	long mounted Burg/Kerspel/parish/settlement working complex	Dense mounted-slip sequence, repeatedly interleaved with Rockefeller letterhead sheets. The subject remains medieval Low Countries settlement, parishes, burgs and historical geography. OCR frequently collapses reading order and substitutes modern/mixed-script prose.
p0151-p0155	loose transitional cards / offprint preliminaries	Mixed small documents before the printed city-rights debate. OCR quality varies sharply; p0152 is blank.
p0156-p0161	printed H. Obreen article	Printed “De vermeende onechtheid van het Middelburgsche stadsrecht van 1254”; p0161 closes with H. Obreen’s name and Westerloo (België). OCR is largely retrieval-usable.
p0162	faded/reverse printed leaf	Visible print is faint/show-through-like and baseline OCR is unreliable.
p0163-p0169	printed O. Oppermann reply	Printed “De onechtheid van het Middelburgsche stadsrecht van 1254”; p0163 explicitly answers H. Obreen and p0169 closes with O. Oppermann, Utrecht. OCR is largely retrieval-usable.
p0170-p0173	blank/receipt transition	p0170 is a blank verso with show-through, p0171 a sparse pencil annotation, p0172 a registered-mail receipt form, p0173 blank.
p0174-p0176	Otto Piper / Burgenkunde publisher material	Printed German publisher advertisements and illustrated material for Otto Piper’s Burgenkunde; simple layout and good retrieval OCR.
p0177-p0180	printed review/reception material	French-language review pages. p0177 explicitly discusses J. Huizinga’s “Burg en Kerspel in Walcheren” under “L’organisation primitive de l’île de Walcheren”; p0180 is a short Revue Belge de Philologie et d’Histoire imprint/title slip.
p0181-p0207	loose manuscript transition	Mostly single or paired handwritten working sheets with simple physical order but severe semantic OCR hallucination. p0181 is a substantive baseline-empty sheet. p0201-p0202 introduce “Stempel” notes and a Koninklijke Nederlandsche Akademie van Wetenschappen memorandum.
p0208-p0229	Ancien Régime / French Revolution working notes	Continuous handwritten working sequence on eighteenth-century France and the Revolution. p0208 begins with Ancien Régime/artistic-cultural notes; p0217 is visibly headed “Max. Robespierre”; later pages continue revolutionary chronology and actors. OCR is often long but semantically unstable.
p0230-p0247	late mounted/bibliographical boards	Return to mounted and composite working boards mixed with blank separators. Reading order is physical-layout dependent; p0239, p0240, p0242 and p0246 are substantive baseline-empty recoveries.
