page_id	scan_page	baseline_chars	class	notes
chunk_015:p0001	0001	60	short-text	short Laura Spelman Rockefeller Memorial letterhead; baseline captures visible text
chunk_015:p0002	0002	536	usable-with-noise	
chunk_015:p0003	0003	301	high-noise	dense mounted-slip board; baseline captures only a small fraction / unstable mixed-script reading
chunk_015:p0004	0004	0	false-empty	baseline empty; mounted board with several substantive handwritten slips visible
chunk_015:p0005	0005	0	false-empty	baseline empty; printed Laura Spelman Rockefeller Memorial / 61 Broadway / New York letterhead visible
chunk_015:p0006	0006	550	usable-with-noise	
chunk_015:p0007	0007	538	usable-with-noise	
chunk_015:p0008	0008	61	short-text	short Laura Spelman Rockefeller Memorial letterhead; baseline captures visible text
chunk_015:p0009	0009	1284	usable-with-noise	
chunk_015:p0010	0010	1021	usable-with-noise	
chunk_015:p0011	0011	310	high-noise	mounted-slip board; baseline severely under-captures visible material
chunk_015:p0012	0012	61	short-text	short Laura Spelman Rockefeller Memorial letterhead; baseline captures visible text
chunk_015:p0013	0013	647	usable-with-noise	
chunk_015:p0014	0014	1181	usable-with-noise	
chunk_015:p0015	0015	1103	usable-with-noise	
chunk_015:p0016	0016	252	high-noise	dense mounted-slip board; baseline under-captures visible material
chunk_015:p0017	0017	313	high-noise	dense mounted-slip board; baseline under-captures visible material
chunk_015:p0018	0018	1368	usable-with-noise	
chunk_015:p0019	0019	1017	usable-with-noise	
chunk_015:p0020	0020	308	usable-with-noise	
chunk_015:p0021	0021	0	false-empty	baseline empty; printed Laura Spelman Rockefeller Memorial / 61 Broadway / New York letterhead visible
chunk_015:p0022	0022	575	usable-with-noise	
chunk_015:p0023	0023	313	high-noise	dense mounted-slip board; mixed-script OCR unreliable
chunk_015:p0024	0024	1272	usable-with-noise	
chunk_015:p0025	0025	1151	usable-with-noise	
chunk_015:p0026	0026	589	usable-with-noise	
chunk_015:p0027	0027	572	usable-with-noise	
chunk_015:p0028	0028	1344	usable-with-noise	
chunk_015:p0029	0029	3183	usable-with-noise	
chunk_015:p0030	0030	1744	usable	printed R. Oldenbourg catalogue / Das heilige Reich; publisher material substantially legible
chunk_015:p0031	0031	474	usable-with-noise	
chunk_015:p0032	0032	528	usable-with-noise	
chunk_015:p0033	0033	1484	usable-with-noise	
chunk_015:p0034	0034	1843	usable-with-noise	
chunk_015:p0035	0035	3	high-noise	mounted-slip board; baseline nearly empty despite several visible slips
chunk_015:p0036	0036	279	high-noise	mounted-slip board; severe under-capture
chunk_015:p0037	0037	537	usable-with-noise	
chunk_015:p0038	0038	0	blank	graph-paper/backing sheets with no substantive readable text
chunk_015:p0039	0039	558	usable	printed Duns Scotus advertisement plus mounted notes; printed portion substantially legible
chunk_015:p0040	0040	531	usable-with-noise	
chunk_015:p0041	0041	335	high-noise	dense mounted-slip board; baseline under-captures visible material
chunk_015:p0042	0042	2	high-noise	mounted board with many slips; baseline only “2.”
chunk_015:p0043	0043	0	false-empty	baseline empty; mounted board with substantive handwritten slips visible
chunk_015:p0044	0044	42	high-noise	mounted board; baseline reduced to a few nonsensical tokens
chunk_015:p0045	0045	546	usable-with-noise	
chunk_015:p0046	0046	104	high-noise	mounted board; severe under-capture
chunk_015:p0047	0047	1432	usable-with-noise	
chunk_015:p0048	0048	338	high-noise	two-board mounted sequence; baseline substantially under-captures visible text
chunk_015:p0049	0049	1933	usable-with-noise	
