page	pdf	verification	json_action	note
p0001	chunk_071__p0001-0040.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0002	chunk_071__p0001-0040.pdf	checked_against_original_pdf	replace_block;replace_block;replace_block	corrected JSON and audit ledger updated
p0003	chunk_071__p0001-0040.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0004	chunk_071__p0001-0040.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0005	chunk_071__p0001-0040.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0006	chunk_071__p0001-0040.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0007	chunk_071__p0001-0040.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0008	chunk_071__p0001-0040.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0009	chunk_071__p0001-0040.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0010	chunk_071__p0001-0040.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0011	chunk_071__p0001-0040.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0012	chunk_071__p0001-0040.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0013	chunk_071__p0001-0040.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0014	chunk_071__p0001-0040.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0015	chunk_071__p0001-0040.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0016	chunk_071__p0001-0040.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0017	chunk_071__p0001-0040.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0018	chunk_071__p0001-0040.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0019	chunk_071__p0001-0040.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0020	chunk_071__p0001-0040.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0021	chunk_071__p0001-0040.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0022	chunk_071__p0001-0040.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0023	chunk_071__p0001-0040.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0024	chunk_071__p0001-0040.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0025	chunk_071__p0001-0040.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0026	chunk_071__p0001-0040.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0027	chunk_071__p0001-0040.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0028	chunk_071__p0001-0040.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0029	chunk_071__p0001-0040.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0030	chunk_071__p0001-0040.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0031	chunk_071__p0001-0040.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0032	chunk_071__p0001-0040.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0033	chunk_071__p0001-0040.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0034	chunk_071__p0001-0040.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0035	chunk_071__p0001-0040.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0036	chunk_071__p0001-0040.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0037	chunk_071__p0001-0040.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0038	chunk_071__p0001-0040.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0039	chunk_071__p0001-0040.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0040	chunk_071__p0001-0040.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
