page	pdf	verification	json_action	note
p0001	chunk_070__p0001-0040.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0002	chunk_070__p0001-0040.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0003	chunk_070__p0001-0040.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0004	chunk_070__p0001-0040.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0005	chunk_070__p0001-0040.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0006	chunk_070__p0001-0040.pdf	checked_against_original_pdf	replace_block	corrected JSON and audit ledger updated
p0007	chunk_070__p0001-0040.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0008	chunk_070__p0001-0040.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0009	chunk_070__p0001-0040.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0010	chunk_070__p0001-0040.pdf	checked_against_original_pdf	replace_block;drop_block	corrected JSON and audit ledger updated
p0011	chunk_070__p0001-0040.pdf	checked_against_original_pdf	append_manual_block	corrected JSON and audit ledger updated
p0012	chunk_070__p0001-0040.pdf	checked_against_original_pdf	append_manual_block	corrected JSON and audit ledger updated
p0013	chunk_070__p0001-0040.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0014	chunk_070__p0001-0040.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0015	chunk_070__p0001-0040.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0016	chunk_070__p0001-0040.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0017	chunk_070__p0001-0040.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0018	chunk_070__p0001-0040.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0019	chunk_070__p0001-0040.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0020	chunk_070__p0001-0040.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0021	chunk_070__p0001-0040.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0022	chunk_070__p0001-0040.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0023	chunk_070__p0001-0040.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0024	chunk_070__p0001-0040.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0025	chunk_070__p0001-0040.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0026	chunk_070__p0001-0040.pdf	checked_against_original_pdf	clear_page;append_manual_block	corrected JSON and audit ledger updated
p0027	chunk_070__p0001-0040.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0028	chunk_070__p0001-0040.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0029	chunk_070__p0001-0040.pdf	checked_against_original_pdf	clear_page;append_manual_block	corrected JSON and audit ledger updated
p0030	chunk_070__p0001-0040.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0031	chunk_070__p0001-0040.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0032	chunk_070__p0001-0040.pdf	checked_against_original_pdf	clear_page;append_manual_block	corrected JSON and audit ledger updated
p0033	chunk_070__p0001-0040.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0034	chunk_070__p0001-0040.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0035	chunk_070__p0001-0040.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0036	chunk_070__p0001-0040.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0037	chunk_070__p0001-0040.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0038	chunk_070__p0001-0040.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0039	chunk_070__p0001-0040.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0040	chunk_070__p0001-0040.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0041	chunk_070__p0041-0080.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0042	chunk_070__p0041-0080.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0043	chunk_070__p0041-0080.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0044	chunk_070__p0041-0080.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0045	chunk_070__p0041-0080.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0046	chunk_070__p0041-0080.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0047	chunk_070__p0041-0080.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0048	chunk_070__p0041-0080.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0049	chunk_070__p0041-0080.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0050	chunk_070__p0041-0080.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0051	chunk_070__p0041-0080.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0052	chunk_070__p0041-0080.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0053	chunk_070__p0041-0080.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0054	chunk_070__p0041-0080.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0055	chunk_070__p0041-0080.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0056	chunk_070__p0041-0080.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0057	chunk_070__p0041-0080.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0058	chunk_070__p0041-0080.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0059	chunk_070__p0041-0080.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0060	chunk_070__p0041-0080.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0061	chunk_070__p0041-0080.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0062	chunk_070__p0041-0080.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0063	chunk_070__p0041-0080.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0064	chunk_070__p0041-0080.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0065	chunk_070__p0041-0080.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0066	chunk_070__p0041-0080.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0067	chunk_070__p0041-0080.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0068	chunk_070__p0041-0080.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0069	chunk_070__p0041-0080.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0070	chunk_070__p0041-0080.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0071	chunk_070__p0041-0080.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0072	chunk_070__p0041-0080.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0073	chunk_070__p0041-0080.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0074	chunk_070__p0041-0080.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0075	chunk_070__p0041-0080.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0076	chunk_070__p0041-0080.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0077	chunk_070__p0041-0080.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0078	chunk_070__p0041-0080.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0079	chunk_070__p0041-0080.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0080	chunk_070__p0041-0080.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0081	chunk_070__p0081-0120.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0082	chunk_070__p0081-0120.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0083	chunk_070__p0081-0120.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0084	chunk_070__p0081-0120.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
