page_id	chars	class	packet	flags
p0001	0	blank-no-substantive	A1	baseline_empty_verified_blank
p0002	412	usable-with-noise	A1	
p0003	509	usable-with-noise	A1	
p0004	376	usable-with-noise	A1	
p0005	505	usable-with-noise	A1	
p0006	483	usable-with-noise	A1	
p0007	917	high-noise	A1	handwritten_ocr_distortion
p0008	1727	high-noise	A1	handwritten_ocr_distortion
p0009	772	high-noise	A1	handwritten_ocr_distortion
p0010	1907	high-noise	A1	handwritten_ocr_distortion
p0011	1060	high-noise	A1	mounted_slip_layout;reading_order_risk
p0012	49	high-noise	A1	mounted_slip_layout;reading_order_risk;severe_under_capture
p0013	82	short-text	A1	short_official_service_card
p0014	617	usable-with-noise	A1	
p0015	853	usable-with-noise	A1	
p0016	271	usable-with-noise	A1	
p0017	477	usable-with-noise	A1	
p0018	529	usable-with-noise	A1	
p0019	370	usable-with-noise	A1	
p0020	312	usable-with-noise	A1	
p0021	413	usable-with-noise	A1	
p0022	554	usable-with-noise	A1	
p0023	831	usable-with-noise	A1	
p0024	372	usable-with-noise	A1	
p0025	419	high-noise	A1	mounted_slip_layout;reading_order_risk
p0026	262	high-noise	A1	mounted_slip_layout;reading_order_risk
p0027	0	blank-no-substantive	A2	baseline_empty_verified_blank
p0028	534	usable-with-noise	A2	
p0029	300	usable-with-noise	A2	
p0030	120	usable-with-noise	A2	
p0031	582	usable-with-noise	A2	
p0032	542	usable-with-noise	A2	
p0033	686	usable-with-noise	A2	
p0034	745	usable-with-noise	A2	
p0035	1630	high-noise	A2	mounted_slip_layout;reading_order_risk
p0036	624	high-noise	A2	mounted_slip_layout;reading_order_risk
p0037	0	blank-no-substantive	A2	baseline_empty_verified_blank
p0038	417	usable-with-noise	A2	
p0039	579	usable-with-noise	A2	
p0040	468	usable-with-noise	A2	
p0041	689	usable-with-noise	A2	
p0042	430	usable-with-noise	A2	
p0043	447	usable-with-noise	A2	
p0044	526	high-noise	A2	mounted_slip_layout;reading_order_risk
p0045	244	high-noise	A2	mounted_slip_layout;reading_order_risk
p0046	0	blank-no-substantive	A2	baseline_empty_verified_blank
p0047	1097	high-noise	A2	mounted_slip_layout;reading_order_risk
p0048	1747	high-noise	A2	mounted_slip_layout;reading_order_risk
p0049	1505	high-noise	A2	mounted_slip_layout;reading_order_risk
p0050	2130	high-noise	A2	mounted_slip_layout;reading_order_risk
p0051	1525	high-noise	A2	mounted_slip_layout;reading_order_risk
p0052	1641	high-noise	A2	mounted_slip_layout;reading_order_risk
p0053	165	high-noise	A2	mounted_slip_layout;reading_order_risk
p0054	0	blank-no-substantive	A2	baseline_empty_verified_blank
p0055	0	false-empty-recovery	B1	baseline_empty_false_negative;mounted_slip_layout;reading_order_risk
