page_id	scan_page	baseline_chars	class	notes
chunk_014:p0001	0001	0	blank	
chunk_014:p0002	0002	1026	usable-with-noise	
chunk_014:p0003	0003	998	usable-with-noise	
chunk_014:p0004	0004	308	high-noise	mounted/dense handwritten slip board; severe under-capture and/or reading-order collapse
chunk_014:p0005	0005	1079	usable-with-noise	
chunk_014:p0006	0006	1053	usable-with-noise	
chunk_014:p0007	0007	2334	usable-with-noise	
chunk_014:p0008	0008	3181	usable	printed Paul Hazard prospectus/book sample; explicit paper/typography/ornament/héliogravure plate description; baseline strong
chunk_014:p0009	0009	905	usable	printed publisher catalogue; legible material-production description and Firmin-Didot printer line; baseline strong
chunk_014:p0010	0010	61	short-text	short printed Laura Spelman Rockefeller Memorial letterhead; baseline captures the substantive text
chunk_014:p0011	0011	140	high-noise	mounted/dense handwritten slip board; severe under-capture and/or reading-order collapse
chunk_014:p0012	0012	44	high-noise	mounted/dense handwritten slip board; severe under-capture and/or reading-order collapse
chunk_014:p0013	0013	61	short-text	short printed Laura Spelman Rockefeller Memorial letterhead; baseline captures the substantive text
chunk_014:p0014	0014	479	usable-with-noise	
chunk_014:p0015	0015	1045	usable-with-noise	
chunk_014:p0016	0016	667	usable-with-noise	
chunk_014:p0017	0017	61	short-text	short printed Laura Spelman Rockefeller Memorial letterhead; baseline captures the substantive text
chunk_014:p0018	0018	975	usable-with-noise	
chunk_014:p0019	0019	1394	usable-with-noise	
chunk_014:p0020	0020	0	false-empty	baseline empty; mounted board with substantive handwritten slips visible
chunk_014:p0021	0021	61	short-text	short printed Laura Spelman Rockefeller Memorial letterhead; baseline captures the substantive text
chunk_014:p0022	0022	285	high-noise	mounted/dense handwritten slip board; severe under-capture and/or reading-order collapse
chunk_014:p0023	0023	78	high-noise	mounted/dense handwritten slip board; severe under-capture and/or reading-order collapse
chunk_014:p0024	0024	0	false-empty	baseline empty; printed Laura Spelman Rockefeller Memorial letterhead visible
chunk_014:p0025	0025	852	usable-with-noise	
chunk_014:p0026	0026	283	high-noise	mounted/dense handwritten slip board; severe under-capture and/or reading-order collapse
chunk_014:p0027	0027	61	short-text	short printed Laura Spelman Rockefeller Memorial letterhead; baseline captures the substantive text
chunk_014:p0028	0028	1121	usable-with-noise	
chunk_014:p0029	0029	230	high-noise	mounted/dense handwritten slip board; severe under-capture and/or reading-order collapse
chunk_014:p0030	0030	0	blank	
chunk_014:p0031	0031	924	usable-with-noise	
chunk_014:p0032	0032	576	usable-with-noise	
chunk_014:p0033	0033	786	usable-with-noise	
chunk_014:p0034	0034	215	high-noise	mounted/dense handwritten slip board; severe under-capture and/or reading-order collapse
chunk_014:p0035	0035	699	usable-with-noise	
chunk_014:p0036	0036	753	usable-with-noise	
chunk_014:p0037	0037	700	usable-with-noise	
chunk_014:p0038	0038	706	usable-with-noise	
chunk_014:p0039	0039	530	usable-with-noise	
chunk_014:p0040	0040	664	usable-with-noise	
chunk_014:p0041	0041	730	usable-with-noise	
chunk_014:p0042	0042	988	usable-with-noise	
chunk_014:p0043	0043	1291	usable-with-noise	
chunk_014:p0044	0044	785	usable-with-noise	
chunk_014:p0045	0045	783	usable-with-noise	
chunk_014:p0046	0046	1025	usable-with-noise	
chunk_014:p0047	0047	1169	usable-with-noise	
chunk_014:p0048	0048	635	usable-with-noise	
chunk_014:p0049	0049	971	usable-with-noise	
