page_id	baseline_ocr	visual_resolution	note
p0001	empty	short-text	folder cover; faint handwritten label reads 'physiologie' with Roman numeral II; archival numbers also visible
p0013	empty	false-empty-recovery	dense handwritten Indian-medicine note headed 'Mala 1.'; full substantive text present
p0039	empty	blank-no-substantive	blank open/ruled sheet
p0040	empty	blank-no-substantive	blank small card/sheet
p0047	empty	short-text	blank postcard face with printed 'BRIEFKAART' and address fields
p0051	empty	blank-no-substantive	blank ruled card
p0053	empty	false-empty-recovery	postcard back has handwritten bibliographical note; visible anchors include 'Louanges de France' and 'Dumont'
p0055	empty	false-empty-recovery	postcard back has handwritten bibliographical note headed 'Sources de France'; additional French title/reference follows
p0057	empty	false-empty-recovery	postcard back has handwritten bibliographical note; visible anchors include 'Sources de France', 'Vauban', 'Projet de paix', '1706'
p0058	empty	short-text	blank postcard face with printed 'BRIEFKAART'
p0122	empty	short-text	blank postcard face with printed 'BRIEFKAART'
p0133	empty	short-text	blank postcard face with printed 'BRIEFKAART'
p0144	empty	blank-no-substantive	blank ruled sheet
p0166	empty	blank-no-substantive	blank ruled sheet
p0167	empty	blank-no-substantive	blank small card
p0171	empty	blank-no-substantive	blank card
p0175	empty	blank-no-substantive	blank card
p0178	empty	blank-no-substantive	blank card
p0183	empty	blank-no-substantive	blank card
p0186	empty	blank-no-substantive	blank card
p0193	empty	blank-no-substantive	blank card
p0199	empty	blank-no-substantive	blank card
p0202	empty	blank-no-substantive	blank card
p0216	empty	blank-no-substantive	blank card
p0220	empty	blank-no-substantive	blank card
p0231	empty	blank-no-substantive	blank two-sheet/open-sheet scan
p0237	empty	false-empty-recovery	mounted board with many handwritten slips; substantive text present throughout; reading order requires close scan-level work
p0252	empty	blank-no-substantive	blank ruled sheet
