page_id	baseline_chars	visual_status	quality_class	needs_close_transcription	text_source	review_pdf
chunk_004:p0001	1208	text_present	usable_with_noise	false	baseline_ocr_retained	chunk_004__p0001-0040.pdf
chunk_004:p0002	1120	text_present	usable	false	baseline_ocr_retained	chunk_004__p0001-0040.pdf
chunk_004:p0003	1011	text_present	usable	false	baseline_ocr_retained	chunk_004__p0001-0040.pdf
chunk_004:p0004	785	text_present	usable_with_noise	false	baseline_ocr_retained	chunk_004__p0001-0040.pdf
chunk_004:p0005	1042	text_present	usable_with_noise	false	baseline_ocr_retained	chunk_004__p0001-0040.pdf
chunk_004:p0006	1076	text_present	usable_with_noise	false	baseline_ocr_retained	chunk_004__p0001-0040.pdf
chunk_004:p0007	990	text_present	usable	false	baseline_ocr_retained	chunk_004__p0001-0040.pdf
chunk_004:p0008	1066	text_present	usable_with_noise	false	baseline_ocr_retained	chunk_004__p0001-0040.pdf
chunk_004:p0009	985	text_present	usable	false	baseline_ocr_retained	chunk_004__p0001-0040.pdf
chunk_004:p0010	1104	text_present	usable	false	baseline_ocr_retained	chunk_004__p0001-0040.pdf
chunk_004:p0011	1006	text_present	usable_with_noise	false	baseline_ocr_retained	chunk_004__p0001-0040.pdf
chunk_004:p0012	479	text_present	usable	false	baseline_ocr_retained	chunk_004__p0001-0040.pdf
chunk_004:p0013	1120	text_present	usable	false	baseline_ocr_retained	chunk_004__p0001-0040.pdf
chunk_004:p0014	1159	text_present	usable_with_noise	false	baseline_ocr_retained	chunk_004__p0001-0040.pdf
chunk_004:p0015	646	text_present	usable_with_noise	false	baseline_ocr_retained	chunk_004__p0001-0040.pdf
chunk_004:p0016	1426	text_present	high_noise_flagged	true	baseline_ocr_retained	chunk_004__p0001-0040.pdf
chunk_004:p0017	1120	text_present	usable_with_noise	false	baseline_ocr_retained	chunk_004__p0001-0040.pdf
chunk_004:p0018	1032	text_present	usable	false	baseline_ocr_retained	chunk_004__p0001-0040.pdf
chunk_004:p0019	1072	text_present	usable_with_noise	false	baseline_ocr_retained	chunk_004__p0001-0040.pdf
chunk_004:p0020	987	text_present	usable	false	baseline_ocr_retained	chunk_004__p0001-0040.pdf
chunk_004:p0021	1259	text_present	usable_with_noise	false	baseline_ocr_retained	chunk_004__p0001-0040.pdf
chunk_004:p0022	1071	text_present	usable_with_noise	false	baseline_ocr_retained	chunk_004__p0001-0040.pdf
chunk_004:p0023	918	text_present	usable	false	baseline_ocr_retained	chunk_004__p0001-0040.pdf
chunk_004:p0024	929	text_present	usable_with_noise	false	baseline_ocr_retained	chunk_004__p0001-0040.pdf
chunk_004:p0025	1007	text_present	usable_with_noise	false	baseline_ocr_retained	chunk_004__p0001-0040.pdf
chunk_004:p0026	1067	text_present	usable_with_noise	false	baseline_ocr_retained	chunk_004__p0001-0040.pdf
chunk_004:p0027	943	text_present	usable	false	baseline_ocr_retained	chunk_004__p0001-0040.pdf
chunk_004:p0028	995	text_present	usable	false	baseline_ocr_retained	chunk_004__p0001-0040.pdf
chunk_004:p0029	1018	text_present	usable_with_noise	false	baseline_ocr_retained	chunk_004__p0001-0040.pdf
chunk_004:p0030	1052	text_present	usable	false	baseline_ocr_retained	chunk_004__p0001-0040.pdf
chunk_004:p0031	1108	text_present	usable_with_noise	false	baseline_ocr_retained	chunk_004__p0001-0040.pdf
chunk_004:p0032	1018	text_present	usable	false	baseline_ocr_retained	chunk_004__p0001-0040.pdf
chunk_004:p0033	1055	text_present	usable_with_noise	false	baseline_ocr_retained	chunk_004__p0001-0040.pdf
chunk_004:p0034	1061	text_present	usable_with_noise	false	baseline_ocr_retained	chunk_004__p0001-0040.pdf
chunk_004:p0035	796	text_present	usable_with_noise	false	baseline_ocr_retained	chunk_004__p0001-0040.pdf
chunk_004:p0036	998	text_present	usable_with_noise	false	baseline_ocr_retained	chunk_004__p0001-0040.pdf
chunk_004:p0037	1147	text_present	usable	false	baseline_ocr_retained	chunk_004__p0001-0040.pdf
chunk_004:p0038	978	text_present	usable_with_noise	false	baseline_ocr_retained	chunk_004__p0001-0040.pdf
chunk_004:p0039	1102	text_present	usable_with_noise	false	baseline_ocr_retained	chunk_004__p0001-0040.pdf
