page_id	chars	class	packet	flags
p0001	0	blank-no-substantive	A1	baseline_empty_verified_blank
p0002	1083	high-noise	A1	mounted_slip_layout;reading_order_risk
p0003	0	false-empty-recovery	A1	baseline_empty_false_negative;mounted_slip_layout;reading_order_risk
p0004	1403	high-noise	A1	mounted_slip_layout;reading_order_risk
p0005	633	high-noise	A1	mounted_slip_layout;reading_order_risk
p0006	138	high-noise	A1	mounted_slip_layout;reading_order_risk;ocr_repeat_run_cleaned_v3
p0007	941	high-noise	A1	mounted_slip_layout;reading_order_risk;ocr_repeat_run_cleaned_v3;semantic_hallucination_generated_repetition
p0008	1042	high-noise	A1	mounted_slip_layout;reading_order_risk;semantic_hallucination_modern_intrusion;ocr_repetition_cleaned
p0009	17	high-noise	A1	mounted_slip_layout;reading_order_risk;semantic_hallucination_modern_intrusion
p0010	1120	high-noise	A1	mounted_slip_layout;reading_order_risk;semantic_hallucination_modern_intrusion
p0011	1099	high-noise	A1	mounted_slip_layout;reading_order_risk;semantic_hallucination_generated_repetition
p0012	2426	high-noise	A1	mounted_slip_layout;reading_order_risk;semantic_hallucination_modern_intrusion
p0013	2043	high-noise	A1	mounted_slip_layout;reading_order_risk
p0014	1892	high-noise	A1	mounted_slip_layout;reading_order_risk
p0015	4932	high-noise	A1	mounted_slip_layout;reading_order_risk;semantic_hallucination_overgeneration
p0016	423	high-noise	A1	mounted_slip_layout;reading_order_risk
p0017	638	high-noise	A1	mounted_slip_layout;reading_order_risk
p0018	0	false-empty-recovery	A1	baseline_empty_false_negative;mounted_slip_layout;reading_order_risk
p0019	0	false-empty-recovery	A1	baseline_empty_false_negative;mounted_slip_layout;reading_order_risk
p0020	313	high-noise	A1	mounted_slip_layout;reading_order_risk
p0021	0	blank-no-substantive	A1	baseline_empty_verified_blank
p0022	1242	high-noise	A1	mounted_slip_layout;reading_order_risk
p0023	2687	high-noise	A1	mounted_slip_layout;reading_order_risk;semantic_hallucination_generated_repetition
p0024	2554	high-noise	A1	mounted_slip_layout;reading_order_risk
p0025	2390	high-noise	A1	mounted_slip_layout;reading_order_risk
p0026	51	high-noise	A1	mounted_slip_layout;reading_order_risk
p0027	317	high-noise	A1	mounted_slip_layout;reading_order_risk
p0028	0	blank-no-substantive	A1	baseline_empty_verified_blank
p0029	347	high-noise	A1	mounted_slip_layout;reading_order_risk
p0030	191	high-noise	A1	mounted_slip_layout;reading_order_risk
p0031	0	blank-no-substantive	A1	baseline_empty_verified_blank
p0032	0	false-empty-recovery	A1	baseline_empty_false_negative;mounted_slip_layout;reading_order_risk
p0033	114	high-noise	A1	mounted_slip_layout;reading_order_risk;semantic_hallucination_modern_intrusion
p0034	0	blank-no-substantive	A1	baseline_empty_verified_blank
p0035	350	high-noise	A1	mounted_slip_layout;reading_order_risk
p0036	112	high-noise	A1	mounted_slip_layout;reading_order_risk
p0037	0	blank-no-substantive	A1	baseline_empty_verified_blank
p0038	459	high-noise	A1	mounted_slip_layout;reading_order_risk
p0039	581	high-noise	A1	mounted_slip_layout;reading_order_risk
p0040	0	false-empty-recovery	A1	baseline_empty_false_negative;mounted_slip_layout;reading_order_risk
p0041	0	blank-no-substantive	A1	baseline_empty_verified_blank
p0042	418	high-noise	A2	mounted_slip_layout;reading_order_risk;mazzini_packet_label
p0043	1243	high-noise	A2	mounted_slip_layout;reading_order_risk
p0044	985	high-noise	A2	mounted_slip_layout;reading_order_risk;semantic_hallucination_modern_intrusion
p0045	0	false-empty-recovery	A2	baseline_empty_false_negative;mounted_slip_layout;reading_order_risk
p0046	0	blank-no-substantive	A2	baseline_empty_verified_blank
p0047	119	high-noise	A2	mounted_slip_layout;reading_order_risk
p0048	1	high-noise	A2	mounted_slip_layout;reading_order_risk
p0049	0	blank-no-substantive	A2	baseline_empty_verified_blank
p0050	0	false-empty-recovery	A2	baseline_empty_false_negative;mounted_slip_layout;reading_order_risk
p0051	910	high-noise	A2	mounted_slip_layout;reading_order_risk
p0052	412	high-noise	A2	mounted_slip_layout;reading_order_risk
p0053	0	blank-no-substantive	A2	baseline_empty_verified_blank
p0054	456	high-noise	A2	mounted_slip_layout;reading_order_risk
p0055	49	high-noise	A2	mounted_slip_layout;reading_order_risk
p0056	0	blank-no-substantive	A2	baseline_empty_verified_blank
p0057	163	high-noise	A2	mounted_slip_layout;reading_order_risk
p0058	14	high-noise	A2	mounted_slip_layout;reading_order_risk
p0059	0	blank-no-substantive	A2	baseline_empty_verified_blank
p0060	124	high-noise	A2	mounted_slip_layout;reading_order_risk
p0061	389	high-noise	A2	mounted_slip_layout;reading_order_risk
p0062	0	blank-no-substantive	B1	baseline_empty_verified_blank
p0063	0	false-empty-recovery	B1	baseline_empty_false_negative;mounted_slip_layout;reading_order_risk
p0064	0	false-empty-recovery	B1	baseline_empty_false_negative;mounted_slip_layout;reading_order_risk
p0065	0	blank-no-substantive	B1	baseline_empty_verified_blank
p0066	239	high-noise	B1	mounted_slip_layout;reading_order_risk
p0067	612	high-noise	B1	mounted_slip_layout;reading_order_risk;semantic_hallucination_modern_intrusion
p0068	509	high-noise	B1	mounted_slip_layout;reading_order_risk
p0069	0	blank-no-substantive	B1	baseline_empty_verified_blank
p0070	625	high-noise	B1	mounted_slip_layout;reading_order_risk
p0071	1321	high-noise	B1	mounted_slip_layout;reading_order_risk
p0072	2031	high-noise	B1	mounted_slip_layout;reading_order_risk;semantic_hallucination_modern_intrusion
p0073	2221	high-noise	B1	mounted_slip_layout;reading_order_risk;semantic_hallucination_modern_intrusion
p0074	228	high-noise	B1	mounted_slip_layout;reading_order_risk
p0075	0	blank-no-substantive	B1	baseline_empty_verified_blank
p0076	1098	high-noise	B1	mounted_slip_layout;reading_order_risk
p0077	1932	high-noise	B1	mounted_slip_layout;reading_order_risk
p0078	2041	high-noise	B1	mounted_slip_layout;reading_order_risk
p0079	1679	high-noise	B1	mounted_slip_layout;reading_order_risk;semantic_hallucination_modern_intrusion
p0080	1660	high-noise	B1	mounted_slip_layout;reading_order_risk;semantic_hallucination_modern_intrusion
p0081	547	high-noise	B1	mounted_slip_layout;reading_order_risk
p0082	0	blank-no-substantive	B1	baseline_empty_verified_blank
p0083	554	high-noise	B1	mounted_slip_layout;reading_order_risk
p0084	0	false-empty-recovery	B1	baseline_empty_false_negative;mounted_slip_layout;reading_order_risk
p0085	423	high-noise	B1	mounted_slip_layout;reading_order_risk
p0086	0	blank-no-substantive	B1	baseline_empty_verified_blank
p0087	457	high-noise	B1	mounted_slip_layout;reading_order_risk
p0088	1016	high-noise	B1	mounted_slip_layout;reading_order_risk
p0089	1397	high-noise	B1	mounted_slip_layout;reading_order_risk
p0090	599	high-noise	B1	mounted_slip_layout;reading_order_risk
p0091	0	blank-no-substantive	B1	baseline_empty_verified_blank
p0092	962	high-noise	B1	mounted_slip_layout;reading_order_risk
p0093	2034	high-noise	B1	mounted_slip_layout;reading_order_risk
p0094	2160	high-noise	B1	mounted_slip_layout;reading_order_risk
p0095	533	high-noise	B1	mounted_slip_layout;reading_order_risk
p0096	0	blank-no-substantive	B1	baseline_empty_verified_blank
p0097	1037	high-noise	B1	mounted_slip_layout;reading_order_risk;semantic_hallucination_modern_intrusion
p0098	1999	high-noise	B1	mounted_slip_layout;reading_order_risk
p0099	1705	high-noise	B1	mounted_slip_layout;reading_order_risk
p0100	1503	high-noise	B1	mounted_slip_layout;reading_order_risk
p0101	439	high-noise	B1	mounted_slip_layout;reading_order_risk
p0102	0	blank-no-substantive	B1	baseline_empty_verified_blank
p0103	617	high-noise	B1	mounted_slip_layout;reading_order_risk
p0104	2869	high-noise	B1	mounted_slip_layout;reading_order_risk;semantic_hallucination_modern_intrusion
p0105	2092	high-noise	B1	mounted_slip_layout;reading_order_risk
p0106	1766	high-noise	B1	mounted_slip_layout;reading_order_risk
p0107	2312	high-noise	B1	mounted_slip_layout;reading_order_risk
p0108	993	high-noise	B1	mounted_slip_layout;reading_order_risk
p0109	1950	high-noise	B1	mounted_slip_layout;reading_order_risk
p0110	669	high-noise	B1	mounted_slip_layout;reading_order_risk
p0111	0	blank-no-substantive	B1	baseline_empty_verified_blank
p0112	331	high-noise	B1	mounted_slip_layout;reading_order_risk;semantic_hallucination_modern_intrusion
