page_id	baseline_reading	verified_scan_reading_or_status	confidence	note
chunk_024:p0001	[empty OCR]	`Excerpts Kern`	high	narrow handwritten packet/section label; false-empty recovery
chunk_024:p0002	`Mannen en Vrouwe / van Beleekemis in onze / Dagen ... Hendrik Kern ... Also, Nuitxing ... Naarlem, N.D.T.Seong Willis & Zon.`	`Mannen en Vrouwen van Beteekenis in onze Dagen` / `Hendrik Kern` / `door J. Huizinga` / Haarlem, H. D. Tjeenk Willink & Zoon, 1899	high	handwritten cover/title; only clearly legible bibliographical elements are normalized here, unclear series-editor wording is not expanded
chunk_024:p0003	[empty OCR]	blank inside cover/endpaper; no substantive text	high	genuine blank
chunk_024:p0034	[empty OCR]	blank endpaper/cover; no substantive text	high	genuine blank after printed Kern extract
chunk_024:p0035	`Review of the history of medicine, by Thomas A. Wise, London 1867.` plus noisy medicine/plant-name material	`Review of the history of medicine, by Thomas A. Wise, London 1867` is scan-visible; Dhanvantari/Ayurveda and medicinal-plant anchors are also present	high	early Indian-medicine note; retain source spellings/diacritics conservatively
chunk_024:p0054	[empty OCR]	blank ruled sheet with faint watermark/impression only; no substantive text	high	genuine blank
chunk_024:p0056	[empty OCR]	blank ruled folded sheet; no substantive text	high	genuine blank
chunk_024:p0063	`Inhoud van den Susuria.`	`Inhoud van den Susruta`	high	scan-verified heading; correction is limited to the visible source form and does not silently normalize the remainder
chunk_024:p0075	baseline contains a long generated `S1 ...` mathematical/formula sequence	no `S1 ...` series is present; scan contains ordinary handwritten chapter/list material	high	pathological OCR over-expansion; generated sequence must not be treated as source text
chunk_024:p0076	baseline contains a large Cyrillic-script block	no Cyrillic source text is present; scan contains Roman-script/Sanskrit transliteration with Dutch notes	high	mixed-script OCR hallucination
chunk_024:p0082	baseline contains a long generated `7:1`, `7:2`, ... numeric sequence	no such numeric run is present; scan contains ordinary manuscript prose/list material	high	pathological OCR over-expansion
chunk_024:p0084	baseline includes Vietnamese-like phrase `Nick đã sửa các kiểu đam.`	phrase absent from scan; page remains Dutch/Sanskrit/romanized manuscript material	high	mixed-script/language OCR hallucination
