page_id	scan_page	baseline_chars	class	notes
chunk_016:p0001	0001	1474	usable-with-noise	
chunk_016:p0002	0002	1050	usable-with-noise	
chunk_016:p0003	0003	1810	usable-with-noise	
chunk_016:p0004	0004	1679	usable	
chunk_016:p0005	0005	1633	usable	
chunk_016:p0006	0006	1843	usable	
chunk_016:p0007	0007	1485	usable-with-noise	
chunk_016:p0008	0008	1515	usable-with-noise	
chunk_016:p0009	0009	902	usable-with-noise	
chunk_016:p0010	0010	1646	usable	
chunk_016:p0011	0011	2324	usable	
chunk_016:p0012	0012	1480	usable-with-noise	
chunk_016:p0013	0013	1322	usable-with-noise	
chunk_016:p0014	0014	1265	usable-with-noise	
chunk_016:p0015	0015	1494	usable-with-noise	
chunk_016:p0016	0016	1281	usable-with-noise	
chunk_016:p0017	0017	1249	usable-with-noise	
chunk_016:p0018	0018	659	high-noise	dense handwritten page; baseline materially under-captures visible text
chunk_016:p0019	0019	1405	usable-with-noise	
chunk_016:p0020	0020	1341	usable-with-noise	
chunk_016:p0021	0021	840	high-noise	dense handwritten page; baseline under-captures a substantial part of visible text
chunk_016:p0022	0022	1168	usable-with-noise	
chunk_016:p0023	0023	1496	usable-with-noise	
chunk_016:p0024	0024	837	usable-with-noise	
chunk_016:p0025	0025	1150	usable-with-noise	
chunk_016:p0026	0026	1130	usable-with-noise	
chunk_016:p0027	0027	1305	usable-with-noise	
chunk_016:p0028	0028	337	short-text	
chunk_016:p0029	0029	1092	usable-with-noise	
chunk_016:p0030	0030	212	high-noise	pathological hallucination/repetition; v3 reports 571 repeated sentence instances removed; surviving multilingual text is not reliable
chunk_016:p0031	0031	1297	usable-with-noise	
chunk_016:p0032	0032	656	usable-with-noise	
chunk_016:p0033	0033	2230	usable	
chunk_016:p0034	0034	444	high-noise	narrow dense handwritten sheet; severe under-capture
chunk_016:p0035	0035	630	high-noise	dense handwritten sheet with strong multilingual/model hallucination; exact reading unreliable
chunk_016:p0036	0036	195	high-noise	handwritten sheet reduced to a short multilingual/nonsense OCR fragment
chunk_016:p0037	0037	2513	usable	
chunk_016:p0038	0038	1789	usable	
chunk_016:p0039	0039	1844	usable	
chunk_016:p0040	0040	1491	usable-with-noise	
chunk_016:p0041	0041	1846	usable	
chunk_016:p0042	0042	1323	usable-with-noise	
chunk_016:p0043	0043	2110	usable	
chunk_016:p0044	0044	962	usable-with-noise	
chunk_016:p0045	0045	1131	usable-with-noise	
chunk_016:p0046	0046	748	usable-with-noise	
chunk_016:p0047	0047	1998	usable	
chunk_016:p0048	0048	1458	usable-with-noise	
chunk_016:p0049	0049	676	usable-with-noise	
chunk_016:p0050	0050	1905	usable	
chunk_016:p0051	0051	1744	usable	
chunk_016:p0052	0052	1312	usable-with-noise	
chunk_016:p0053	0053	1673	usable	
chunk_016:p0054	0054	1414	usable-with-noise	
chunk_016:p0055	0055	1305	usable-with-noise	
chunk_016:p0056	0056	1249	usable-with-noise	
chunk_016:p0057	0057	1146	usable-with-noise	
chunk_016:p0058	0058	341	short-text	
chunk_016:p0059	0059	1798	usable	
chunk_016:p0060	0060	1734	usable	
chunk_016:p0061	0061	1601	usable	
chunk_016:p0062	0062	1859	usable	
chunk_016:p0063	0063	1101	usable-with-noise	
chunk_016:p0064	0064	1586	usable-with-noise	
chunk_016:p0065	0065	510	high-noise	multiple/dense handwritten sheets; baseline severely under-captures visible text
chunk_016:p0066	0066	1571	usable-with-noise	
chunk_016:p0067	0067	1667	usable	
chunk_016:p0068	0068	1286	usable-with-noise	
chunk_016:p0069	0069	1489	usable-with-noise	
chunk_016:p0070	0070	1500	usable-with-noise	
chunk_016:p0071	0071	1371	usable-with-noise	
chunk_016:p0072	0072	1209	usable-with-noise	
chunk_016:p0073	0073	1263	usable-with-noise	
chunk_016:p0074	0074	1136	usable-with-noise	
chunk_016:p0075	0075	1273	usable-with-noise	
chunk_016:p0076	0076	1237	usable-with-noise	
chunk_016:p0077	0077	765	high-noise	dense handwritten page; baseline materially under-captures visible text
chunk_016:p0078	0078	1367	usable-with-noise	
chunk_016:p0079	0079	377	short-text	
chunk_016:p0080	0080	2085	usable	
chunk_016:p0081	0081	1742	usable	
chunk_016:p0082	0082	916	usable-with-noise	
chunk_016:p0083	0083	1871	usable	
chunk_016:p0084	0084	553	usable-with-noise	
chunk_016:p0085	0085	2930	usable	
chunk_016:p0086	0086	1775	usable	
chunk_016:p0087	0087	2016	usable	
chunk_016:p0088	0088	1419	usable-with-noise	
chunk_016:p0089	0089	1822	usable	
chunk_016:p0090	0090	1495	usable-with-noise	
chunk_016:p0091	0091	1308	usable-with-noise	
chunk_016:p0092	0092	1210	usable-with-noise	
chunk_016:p0093	0093	987	usable-with-noise	
chunk_016:p0094	0094	1161	usable-with-noise	
chunk_016:p0095	0095	1718	usable	
chunk_016:p0096	0096	1499	usable-with-noise	
chunk_016:p0097	0097	2500	usable	
chunk_016:p0098	0098	655	high-noise	compound/mounted manuscript layout; reading order and text capture are unreliable
chunk_016:p0099	0099	1656	usable	
chunk_016:p0100	0100	2567	usable	
chunk_016:p0101	0101	1548	usable-with-noise	
chunk_016:p0102	0102	1647	usable	
chunk_016:p0103	0103	1398	usable-with-noise	
chunk_016:p0104	0104	1386	usable-with-noise	
chunk_016:p0105	0105	1267	usable-with-noise	
chunk_016:p0106	0106	1203	usable-with-noise	
chunk_016:p0107	0107	1355	usable-with-noise	
chunk_016:p0108	0108	1980	usable	
chunk_016:p0109	0109	1450	usable-with-noise	
chunk_016:p0110	0110	1322	usable-with-noise	
chunk_016:p0111	0111	1034	usable-with-noise	
chunk_016:p0112	0112	1107	usable-with-noise	
chunk_016:p0113	0113	0	false-empty	baseline OCR empty, but a full substantive handwritten page is clearly visible
chunk_016:p0114	0114	299	short-text	
chunk_016:p0115	0115	1277	usable-with-noise	
chunk_016:p0116	0116	1489	usable-with-noise	
chunk_016:p0117	0117	1469	usable-with-noise	
chunk_016:p0118	0118	1433	usable-with-noise	
chunk_016:p0119	0119	1399	usable-with-noise	
chunk_016:p0120	0120	1093	usable-with-noise	standard handwritten page; v1 repetition cleanup flag retained, surviving text usable only with caution
chunk_016:p0121	0121	1309	usable-with-noise	
chunk_016:p0122	0122	1193	usable-with-noise	
chunk_016:p0123	0123	1572	usable-with-noise	
chunk_016:p0124	0124	2093	usable	
chunk_016:p0125	0125	912	usable-with-noise	
