page	pdf	verification	json_action	note
p0001	chunk_069__p0001-0040.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0002	chunk_069__p0001-0040.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0003	chunk_069__p0001-0040.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0004	chunk_069__p0001-0040.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0005	chunk_069__p0001-0040.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0006	chunk_069__p0001-0040.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0007	chunk_069__p0001-0040.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0008	chunk_069__p0001-0040.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0009	chunk_069__p0001-0040.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0010	chunk_069__p0001-0040.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0011	chunk_069__p0001-0040.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0012	chunk_069__p0001-0040.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0013	chunk_069__p0001-0040.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0014	chunk_069__p0001-0040.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0015	chunk_069__p0001-0040.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0016	chunk_069__p0001-0040.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0017	chunk_069__p0001-0040.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0018	chunk_069__p0001-0040.pdf	checked_against_original_pdf	drop_block	corrected JSON and audit ledger updated
p0019	chunk_069__p0001-0040.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0020	chunk_069__p0001-0040.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0021	chunk_069__p0001-0040.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0022	chunk_069__p0001-0040.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0023	chunk_069__p0001-0040.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0024	chunk_069__p0001-0040.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
