page	block_count	markdown_len	all_block_text_len	labels	markdown_preview
1	6	229	229	text,text,text,text,text,text	$ ^{*} $NL-0200050000_HUI_HUI-071-2-29-000 $ ^{*} $ Instellingsnaam: Universitaire Bibliotheken Leiden Instellingscode: NL-0200050000 Archiefnaam: Archief Johan Huizinga Archiefken
2	2	0	52	header,number	
3	0	0	0		
4	8	313	347	header,header,text,text,text,text,text,footer	Aema De ondergeteekende, Nijmegen en Antwerp. verklaart uit de Koninklijke Bibliotheek te 's-Gravenhage het boven genoemde boek ter leen ontvangen te hebben voor 4 weken en onder d
5	17	3286	3302	doc_title,text,text,text,text,text,text,text,text,text,text,text,text,table,aside_text,number,number	# UITTREKSEL UIT HET REGLEMENT DER KONINKLIJKE BIBLIOTHEEK, vastgesteld bij beschikkingen van den Minister van Binnenlandsche Zaken van 21 October, 6 November 1884 en 29 Maart 1896
6	24	3089	3089	paragraph_title,text,text,text,text,text,text,text,text,text,text,text,text,vertical_text,vertical_text,vertical_text,vertical_text,vertical_text,vertical_text,vertical_text,vertical_text,vertical_text,vertical_text,vertical_text	#### UITTREKSEL UIT HET REGLEMENT DER KONINKLIJKE BIBLIOTHEEK, vastgesteld bij beschikkingen van den Minister van Binnenlandsche Zaken van 21 October, 6 November 1884 en 29 Maart 1
7	18	1635	1635	text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text	Econome La soirà bien. Not il manuel Parti Colón et Économie. con la princesa quiட்égue. could a good article colled at A'Kommer of Augual pigeoid lourvans, die nog e eau van de me
8	19	1351	1362	text,text,text,text,text,text,header,text,text,text,text,text,text,text,text,text,text,text,text	net heapt to den leat stood als ko hads did can Reimerswaad human Landshaen waren Belummin arvan had Jelfole dte Spreble, le Koorman, Zibrand genaama, en Schout-Sedaponniacton le S
9	21	1383	1398	text,number,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text	de code gesteld met het Rotoop, en van heinde Abstatt, 2025 ze Asent, die pto Giagl im hautigen Augen. gesagt, es gilt keine Grant- ModerneTack-Sletterte/4—Oriental Languages text 
10	22	1354	1395	text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,image,text,footer_image,text,text	V. 30/81. 2020. 1000 Walea. Y. 33. Scoldemann. V.80...na serpente que reino. Carparyna 208 20 Zacaranda Cu. Sv92V.82 etc. Verl.18. hamb.v.herr. 12 erworbte alms das Fretz etc... ..
11	10	9507	9548	text,table,table,table,table,table,table,table,footer_image,table	V.106, rouill voyard que, and 1083, la princes le intervent émerge quament en Zétoussé, c'est dont quoi la Zétoussé est appartient toujours... <table border=1 style='margin: auto; 
