page_id	ocr_signal	class	segment	flags
p0001	control_empty	blank-no-substantive-visual	P1_p0001-p0080	visual_checked;visual_blank_or_no_substantive;baseline_empty_verified_blank
p0002	control_catastrophic_overgeneration	high-noise-layout-risk	P1_p0001-p0080	visual_checked;mounted_slip_layout;reading_order_risk;small_source_regions;envelope_partner;repeated_Chinese_character_overgeneration
p0003	not_crosschecked_in_this_round	high-noise-layout-risk	P1_p0001-p0080	visual_checked;mounted_slip_layout;reading_order_risk;small_source_regions
p0004	not_crosschecked_in_this_round	high-noise-layout-risk	P1_p0001-p0080	visual_checked;mounted_slip_layout;reading_order_risk;small_source_regions
p0005	prior_blank_control	blank-no-substantive-visual	P1_p0001-p0080	visual_checked;visual_blank_or_no_substantive
p0006	not_crosschecked_in_this_round	high-noise-layout-risk	P1_p0001-p0080	visual_checked;mounted_slip_layout;reading_order_risk;small_source_regions;envelope_partner
p0007	not_crosschecked_in_this_round	high-noise-layout-risk	P1_p0001-p0080	visual_checked;mounted_slip_layout;reading_order_risk;small_source_regions
p0008	not_crosschecked_in_this_round	high-noise-layout-risk	P1_p0001-p0080	visual_checked;mounted_slip_layout;reading_order_risk;small_source_regions
p0009	prior_blank_control	blank-no-substantive-visual	P1_p0001-p0080	visual_checked;visual_blank_or_no_substantive
p0010	not_crosschecked_in_this_round	high-noise-layout-risk	P1_p0001-p0080	visual_checked;mounted_slip_layout;reading_order_risk;small_source_regions;envelope_partner
p0011	not_crosschecked_in_this_round	high-noise-layout-risk	P1_p0001-p0080	visual_checked;mounted_slip_layout;reading_order_risk;small_source_regions
p0012	not_crosschecked_in_this_round	high-noise-layout-risk	P1_p0001-p0080	visual_checked;mounted_slip_layout;reading_order_risk;small_source_regions
p0013	not_crosschecked_in_this_round	high-noise-layout-risk	P1_p0001-p0080	visual_checked;mounted_slip_layout;reading_order_risk;small_source_regions
p0014	prior_blank_control	blank-no-substantive-visual	P1_p0001-p0080	visual_checked;visual_blank_or_no_substantive
p0015	not_crosschecked_in_this_round	high-noise-layout-risk	P1_p0001-p0080	visual_checked;mounted_slip_layout;reading_order_risk;small_source_regions;envelope_partner
p0016	not_crosschecked_in_this_round	high-noise-layout-risk	P1_p0001-p0080	visual_checked;mounted_slip_layout;reading_order_risk;small_source_regions
p0017	prior_blank_control	blank-no-substantive-visual	P1_p0001-p0080	visual_checked;visual_blank_or_no_substantive
p0018	not_crosschecked_in_this_round	high-noise-layout-risk	P1_p0001-p0080	visual_checked;mounted_slip_layout;reading_order_risk;small_source_regions;envelope_partner
p0019	not_crosschecked_in_this_round	high-noise-layout-risk	P1_p0001-p0080	visual_checked;mounted_slip_layout;reading_order_risk;small_source_regions
p0020	not_crosschecked_in_this_round	high-noise-layout-risk	P1_p0001-p0080	visual_checked;mounted_slip_layout;reading_order_risk;small_source_regions
p0021	prior_blank_control	blank-no-substantive-visual	P1_p0001-p0080	visual_checked;visual_blank_or_no_substantive
p0022	not_crosschecked_in_this_round	high-noise-layout-risk	P1_p0001-p0080	visual_checked;mounted_slip_layout;reading_order_risk;small_source_regions;envelope_partner
p0023	not_crosschecked_in_this_round	high-noise-layout-risk	P1_p0001-p0080	visual_checked;mounted_slip_layout;reading_order_risk;small_source_regions
p0024	prior_blank_control	blank-no-substantive-visual	P1_p0001-p0080	visual_checked;visual_blank_or_no_substantive
p0025	not_crosschecked_in_this_round	high-noise-layout-risk	P1_p0001-p0080	visual_checked;mounted_slip_layout;reading_order_risk;small_source_regions;envelope_partner
p0026	not_crosschecked_in_this_round	high-noise-layout-risk	P1_p0001-p0080	visual_checked;mounted_slip_layout;reading_order_risk;small_source_regions
p0027	not_crosschecked_in_this_round	high-noise-layout-risk	P1_p0001-p0080	visual_checked;mounted_slip_layout;reading_order_risk;small_source_regions
p0028	prior_blank_control	blank-no-substantive-visual	P1_p0001-p0080	visual_checked;visual_blank_or_no_substantive
p0029	not_crosschecked_in_this_round	high-noise-layout-risk	P1_p0001-p0080	visual_checked;mounted_slip_layout;reading_order_risk;small_source_regions;envelope_partner
p0030	not_crosschecked_in_this_round	high-noise-layout-risk	P1_p0001-p0080	visual_checked;mounted_slip_layout;reading_order_risk;small_source_regions
p0031	not_crosschecked_in_this_round	high-noise-layout-risk	P1_p0001-p0080	visual_checked;mounted_slip_layout;reading_order_risk;small_source_regions
p0032	prior_blank_control	blank-no-substantive-visual	P1_p0001-p0080	visual_checked;visual_blank_or_no_substantive
p0033	not_crosschecked_in_this_round	short-text-or-nontext	P1_p0001-p0080	visual_checked;envelope_or_backside
p0034	not_crosschecked_in_this_round	short-text-or-nontext	P1_p0001-p0080	visual_checked;envelope_or_backside
p0035	not_crosschecked_in_this_round	high-noise-layout-risk	P1_p0001-p0080	visual_checked;mounted_slip_layout;reading_order_risk;small_source_regions;envelope_partner
p0036	not_crosschecked_in_this_round	high-noise-layout-risk	P1_p0001-p0080	visual_checked;mounted_slip_layout;reading_order_risk;small_source_regions
p0037	not_crosschecked_in_this_round	high-noise-layout-risk	P1_p0001-p0080	visual_checked;mounted_slip_layout;reading_order_risk;small_source_regions
p0038	not_crosschecked_in_this_round	high-noise-layout-risk	P1_p0001-p0080	visual_checked;mounted_slip_layout;reading_order_risk;small_source_regions
p0039	prior_blank_control	blank-no-substantive-visual	P1_p0001-p0080	visual_checked;visual_blank_or_no_substantive
p0040	not_crosschecked_in_this_round	high-noise-layout-risk	P1_p0001-p0080	visual_checked;mounted_slip_layout;reading_order_risk;small_source_regions;envelope_partner
p0041	not_crosschecked_in_this_round	high-noise-layout-risk	P1_p0001-p0080	visual_checked;mounted_slip_layout;reading_order_risk;small_source_regions
