page_span	ocr_signal	class	segment	flags
p0201	high_resolution_blank_control	blank-no-substantive-visual	P3_p0201-p0240	visual_checked;visual_blank_or_no_substantive;high_resolution_blank_control
p0202-p0204	not_crosschecked_in_this_round	high-noise-layout-risk	P3_p0201-p0240	visual_checked;mounted_slip_or_composite_layout;reading_order_risk;small_source_regions;dark_mounting_board
p0205	not_crosschecked_in_this_round	blank-no-substantive-visual	P3_p0201-p0240	visual_checked;visual_blank_or_no_substantive
p0206-p0207	not_crosschecked_in_this_round	high-noise-layout-risk	P3_p0201-p0240	visual_checked;mounted_slip_or_composite_layout;reading_order_risk;small_source_regions;dark_mounting_board
p0208	not_crosschecked_in_this_round	blank-no-substantive-visual	P3_p0201-p0240	visual_checked;visual_blank_or_no_substantive
p0209-p0213	not_crosschecked_in_this_round	high-noise-layout-risk	P3_p0201-p0240	visual_checked;mounted_slip_or_composite_layout;reading_order_risk;small_source_regions;dark_mounting_board
p0214	not_crosschecked_in_this_round	blank-no-substantive-visual	P3_p0201-p0240	visual_checked;visual_blank_or_no_substantive
p0215-p0216	not_crosschecked_in_this_round	high-noise-layout-risk	P3_p0201-p0240	visual_checked;mounted_slip_or_composite_layout;reading_order_risk;small_source_regions;dark_mounting_board
p0217	not_crosschecked_in_this_round	short-text-or-nontext	P3_p0201-p0240	visual_checked;small_source_region;minimal_text;high_resolution_short_text_control
p0218	not_crosschecked_in_this_round	short-text-or-nontext	P3_p0201-p0240	visual_checked;small_source_region;minimal_text
p0219-p0221	not_crosschecked_in_this_round	high-noise-layout-risk	P3_p0201-p0240	visual_checked;mounted_slip_or_composite_layout;reading_order_risk;small_source_regions;dark_mounting_board
p0222	not_crosschecked_in_this_round	blank-no-substantive-visual	P3_p0201-p0240	visual_checked;visual_blank_or_no_substantive
p0223-p0224	not_crosschecked_in_this_round	high-noise-layout-risk	P3_p0201-p0240	visual_checked;mounted_slip_or_composite_layout;reading_order_risk;small_source_regions;dark_mounting_board
p0225	not_crosschecked_in_this_round	blank-no-substantive-visual	P3_p0201-p0240	visual_checked;visual_blank_or_no_substantive
p0226-p0227	not_crosschecked_in_this_round	high-noise-layout-risk	P3_p0201-p0240	visual_checked;mounted_slip_or_composite_layout;reading_order_risk;small_source_regions;dark_mounting_board
p0228	not_crosschecked_in_this_round	blank-no-substantive-visual	P3_p0201-p0240	visual_checked;visual_blank_or_no_substantive
p0229-p0232	not_crosschecked_in_this_round	high-noise-layout-risk	P3_p0201-p0240	visual_checked;mounted_slip_or_composite_layout;reading_order_risk;small_source_regions;dark_mounting_board
p0233	not_crosschecked_in_this_round	blank-no-substantive-visual	P3_p0201-p0240	visual_checked;visual_blank_or_no_substantive
p0234-p0237	not_crosschecked_in_this_round	high-noise-layout-risk	P3_p0201-p0240	visual_checked;mounted_slip_or_composite_layout;reading_order_risk;small_source_regions;dark_mounting_board
p0238	not_crosschecked_in_this_round	blank-no-substantive-visual	P3_p0201-p0240	visual_checked;visual_blank_or_no_substantive
p0239-p0240	not_crosschecked_in_this_round	high-noise-layout-risk	P3_p0201-p0240	visual_checked;mounted_slip_or_composite_layout;reading_order_risk;small_source_regions;dark_mounting_board
