page_id	chars	class	packet	flags
p0001	511	usable	A1	
p0002	1822	usable	A1	
p0003	0	blank-no-substantive	A1	baseline_empty_verified_blank
p0004	4518	usable	A1	
p0005	1794	usable	A1	
p0006	0	blank-no-substantive	A1	baseline_empty_verified_blank
p0007	1730	usable	A1	
p0008	1200	usable	A1	
p0009	1780	usable	A1	
p0010	5206	usable	A1	
p0011	3306	usable	A1	
p0012	2899	usable	A1	
p0013	1725	usable	A1	
p0014	5129	usable	A1	
p0015	3481	usable	A1	
p0016	2604	usable	A1	
p0017	0	blank-no-substantive	A1	baseline_empty_verified_blank
p0018	87	high-noise	A1	sparse_slip_layout;severe_under_capture
p0019	1	high-noise	A1	sparse_slip_layout;severe_under_capture
p0020	1812	usable	A1	
p0021	1728	usable	A1	
p0022	0	blank-no-substantive	A1	baseline_empty_verified_blank
p0023	1407	usable	A1	
p0024	3730	usable	A1	
p0025	2791	usable	A1	
p0026	3034	usable	A1	
p0027	0	blank-no-substantive	A1	baseline_empty_verified_blank
p0028	11	short-text	A1	minimal_archival_text
p0029	0	blank-no-substantive	A1	baseline_empty_verified_blank
p0030	2207	usable	A2	
p0031	702	high-noise	A2	faint_print;severe_ocr_distortion;ocr_repetition_cleaned
p0032	4466	usable	A2	
p0033	4528	usable	A2	
p0034	4634	usable	A2	
p0035	0	blank-no-substantive	A2	baseline_empty_verified_blank
p0036	1006	high-noise	A2	handwritten_ocr_distortion
p0037	925	high-noise	A2	handwritten_ocr_distortion
p0038	984	high-noise	A2	handwritten_ocr_distortion
p0039	0	blank-no-substantive	A2	baseline_empty_verified_blank
p0040	0	blank-no-substantive	A2	baseline_empty_verified_blank
p0041	636	high-noise	B1	mounted_slip_layout;reading_order_risk
p0042	36	high-noise	B1	mounted_slip_layout;reading_order_risk;severe_under_capture
p0043	0	short-text	B1	baseline_empty_short_text;rockefeller_stationery
p0044	760	high-noise	B1	mounted_slip_layout;reading_order_risk
p0045	802	high-noise	B1	mounted_slip_layout;reading_order_risk
p0046	1256	high-noise	B1	mounted_slip_layout;reading_order_risk
p0047	891	high-noise	B1	mounted_slip_layout;reading_order_risk;ocr_repeat_run_cleaned_v3
p0048	219	high-noise	B1	mounted_slip_layout;reading_order_risk;severe_under_capture;rockefeller_card_in_composite
p0049	65	high-noise	B1	mounted_slip_layout;reading_order_risk;severe_under_capture
p0050	1109	high-noise	B1	mounted_slip_layout;reading_order_risk
p0051	9	high-noise	B1	mounted_slip_layout;reading_order_risk;severe_under_capture
p0052	1463	usable-with-noise	B1	
p0053	1336	usable-with-noise	B1	
p0054	945	usable-with-noise	B1	
p0055	200	usable-with-noise	B1	
p0056	1399	usable-with-noise	B1	
p0057	1443	usable-with-noise	B1	
p0058	1402	usable-with-noise	B1	
p0059	305	high-noise	B1	handwritten_ocr_distortion;ocr_repeat_run_cleaned_v3
p0060	838	high-noise	B1	handwritten_ocr_distortion
p0061	664	high-noise	B1	handwritten_ocr_distortion
p0062	516	high-noise	B1	handwritten_ocr_distortion
p0063	7161	high-noise	B1	handwritten_ocr_distortion;semantic_hallucination;generated_math_overexpansion
p0064	229	high-noise	B1	handwritten_ocr_distortion
p0065	311	high-noise	B1	handwritten_ocr_distortion
p0066	490	high-noise	B1	handwritten_ocr_distortion;semantic_hallucination_modern_intrusion
p0067	985	high-noise	B1	handwritten_ocr_distortion
p0068	429	high-noise	B1	handwritten_ocr_distortion
p0069	573	high-noise	B1	handwritten_ocr_distortion
p0070	90	high-noise	B1	handwritten_ocr_distortion
p0071	1008	high-noise	B1	handwritten_ocr_distortion
p0072	259	high-noise	B1	handwritten_ocr_distortion;generated_math_overexpansion
p0073	6137	high-noise	B1	handwritten_ocr_distortion;generated_table_sequence_overexpansion
p0074	422	high-noise	B1	handwritten_ocr_distortion
p0075	1001	high-noise	B1	handwritten_ocr_distortion;semantic_hallucination_modern_intrusion
p0076	876	high-noise	B1	handwritten_ocr_distortion
p0077	136	high-noise	B1	handwritten_ocr_distortion
p0078	119	high-noise	B1	handwritten_ocr_distortion;postcard_composite;severe_ocr_distortion
p0079	154	short-text	B1	short_printed_note
p0080	0	blank-no-substantive	B2	baseline_empty_verified_blank
p0081	0	blank-no-substantive	B2	baseline_empty_verified_blank
p0082	124	high-noise	B2	mounted_slip_layout;reading_order_risk
p0083	1493	high-noise	B2	mounted_slip_layout;reading_order_risk
p0084	630	high-noise	B2	mounted_slip_layout;reading_order_risk
p0085	274	high-noise	B2	mounted_slip_layout;reading_order_risk
p0086	1229	high-noise	B2	mounted_slip_layout;reading_order_risk
p0087	784	high-noise	B2	mounted_slip_layout;reading_order_risk;ocr_repetition_cleaned
p0088	12	high-noise	B2	mounted_slip_layout;reading_order_risk
p0089	1183	usable-with-noise	B2	
p0090	1566	usable-with-noise	B2	
p0091	492	usable-with-noise	B2	
p0092	545	usable-with-noise	B2	
p0093	0	blank-no-substantive	B2	baseline_empty_verified_blank
p0094	2029	usable-with-noise	B2	
p0095	1941	usable-with-noise	B2	
p0096	1639	usable-with-noise	B2	
p0097	2235	usable-with-noise	B2	
p0098	1778	usable-with-noise	B2	
p0099	0	blank-no-substantive	B2	baseline_empty_verified_blank
p0100	644	usable-with-noise	B2	
p0101	82	short-text	B2	blank_form_with_printed_heading
p0102	13742	usable-with-noise	B2	
p0103	10597	usable-with-noise	B2	
p0104	54	short-text	B2	short_printed_or_clipped_text
p0105	9	short-text	B2	short_printed_or_clipped_text
