span	layout	note
p0001-p0016	printed/typed Grotius editorial documents	Rules, reports and international-edition memoranda around the Vereeniging voor de uitgave van Grotius; OCR is comparatively regular.
p0017-p0019	separator plus sparse slips	p0017 is blank; p0018-p0019 contain sparse mounted material and are severely under-captured.
p0020-p0026	typed Grotius planning correspondence	1926-1927 operational planning for Auctores laudati and the wider Grotius programme; p0021 includes named work assignments.
p0027-p0029	separators/short archival text	p0027 and p0029 are blank; p0028 contains only the short visible text 'XVIII. 2000'.
p0030-p0034	typed science-and-culture programme/position papers	p0030 is headed 'Wereldbeeld en wetenschap omtrent 1700' and gives the 1932-1933 Leiden lecture programme on natural science as a cultural factor; p0032-p0034 develop a historical argument about seventeenth-century mathematics and natural science. p0031 is a faint/poorly captured intervening print page.
p0035-p0040	handwritten science/history notes and separators	p0035, p0039 and p0040 are blank; p0036-p0038 are loose handwritten notes with severe OCR distortion.
p0041-p0051	mounted working-note boards	Bibliographical/intellectual-history slips in multi-item frames; reading order is physical-layout dependent. p0043 is Rockefeller letterhead.
p0052-p0058	loose handwritten project/projector notes	Working notes on projects/projectors, public advantage, Defoe, Swift and related late-seventeenth/early-eighteenth-century material; OCR is noisy but useful anchors survive.
p0059-p0078	loose/paired handwritten working notes	Long handwritten sequence with frequent severe semantic/script hallucination, generated mathematics/table structures and under-capture; scan checking required before quotation.
p0079-p0081	short printed note and blanks	p0079 is a short printed Finnish Embassy thank-you; p0080-p0081 are blank.
p0082-p0088	mounted 'Zaken' working-note boards	Envelope/boards with many slips; strong reading-order risk and under-capture.
p0089-p0092	correspondence/forms	Regular letters/forms and an address list, including university-contact material.
p0093-p0098	periodical-history sequence	p0093 is blank; p0094-p0098 are typed notes on Journal des savants, Denys de Sallo, Gallois, Bayle, learned correspondence and periodical circulation.
p0099-p0105	forms/newspaper/clippings	p0099 blank; p0100-p0101 forms; p0102-p0103 dense newspaper pages; p0104-p0105 short torn/clipped text.
p0106-p0111	mixed mounted notes and printed clippings	Mounted/sparse notes followed by newspaper/advertising clippings; p0109 is a board with blank cards only.
p0112-p0170	mounted nation/patria/patriotism complex	Extended mounted-slip sequence on patria, patriotism, nationality/nationalism and related historical vocabulary. Eleven Rockefeller-stationery occurrences across the chunk act as recurrent physical separators; eight of those letterheads are complete baseline OCR false negatives. Mounted-board reading order is unstable.
p0171-p0221	mounted late-medieval political/source complex	Predominantly mounted source notes around Edward IV, Warwick, Burgundian/English political history and related chronicles/bibliography, interleaved with genuine blank cards and a few archival labels. Many pages are severely under-captured.
p0222-p0223	Koninklijke Bibliotheek request-form close	Composite KB request forms, envelope/bibliographical slips and mounted cards; reading order is physical-layout dependent and p0223 is severely under-captured.
