page_span	ocr_signal	class	segment	flags
p0201	raw_ocr_present_not_semantically_proofread	high-noise-layout-risk	p0201-p0234	visual_checked;mounted_slip_or_composite_layout;reading_order_risk;small_source_regions;dark_mounting_board
p0202	raw_ocr_present_not_semantically_proofread	high-noise-layout-risk	p0201-p0234	visual_checked;mounted_slip_or_composite_layout;reading_order_risk;small_source_regions;dark_mounting_board
p0203	raw_ocr_present_not_semantically_proofread	blank-no-substantive-visual	p0201-p0234	visual_checked;high_resolution_blank_control;visual_blank_or_no_substantive
p0204	raw_ocr_present_not_semantically_proofread	high-noise-layout-risk	p0201-p0234	visual_checked;mounted_slip_or_composite_layout;reading_order_risk;small_source_regions;dark_mounting_board
p0205	raw_ocr_present_not_semantically_proofread	high-noise-layout-risk	p0201-p0234	visual_checked;mounted_slip_or_composite_layout;reading_order_risk;small_source_regions;dark_mounting_board
p0206	raw_ocr_present_not_semantically_proofread	blank-no-substantive-visual	p0201-p0234	visual_checked;high_resolution_blank_control;visual_blank_or_no_substantive
p0207	raw_ocr_present_not_semantically_proofread	usable-with-noise-visual	p0201-p0234	visual_checked;larger_internally_linear_source_regions;retrieval_stronger_with_noise
p0208	raw_ocr_present_not_semantically_proofread	high-noise-layout-risk	p0201-p0234	visual_checked;mounted_slip_or_composite_layout;reading_order_risk;small_source_regions;dark_mounting_board
p0209	raw_ocr_present_not_semantically_proofread	high-noise-layout-risk	p0201-p0234	visual_checked;mounted_slip_or_composite_layout;reading_order_risk;small_source_regions;dark_mounting_board
p0210	raw_ocr_present_not_semantically_proofread	blank-no-substantive-visual	p0201-p0234	visual_checked;high_resolution_blank_control;visual_blank_or_no_substantive
p0211	raw_ocr_present_not_semantically_proofread	high-noise-layout-risk	p0201-p0234	visual_checked;mounted_slip_or_composite_layout;reading_order_risk;small_source_regions;dark_mounting_board
p0212	raw_ocr_present_not_semantically_proofread	high-noise-layout-risk	p0201-p0234	visual_checked;mounted_slip_or_composite_layout;reading_order_risk;small_source_regions;dark_mounting_board
p0213	raw_ocr_present_not_semantically_proofread	blank-no-substantive-visual	p0201-p0234	visual_checked;high_resolution_blank_control;visual_blank_or_no_substantive
p0214	raw_ocr_present_not_semantically_proofread	high-noise-layout-risk	p0201-p0234	visual_checked;mounted_slip_or_composite_layout;reading_order_risk;small_source_regions;dark_mounting_board
p0215	raw_ocr_present_not_semantically_proofread	high-noise-layout-risk	p0201-p0234	visual_checked;mounted_slip_or_composite_layout;reading_order_risk;small_source_regions;dark_mounting_board
p0216	raw_ocr_present_not_semantically_proofread	blank-no-substantive-visual	p0201-p0234	visual_checked;high_resolution_blank_control;visual_blank_or_no_substantive
p0217	raw_ocr_present_not_semantically_proofread	high-noise-layout-risk	p0201-p0234	visual_checked;mounted_slip_or_composite_layout;reading_order_risk;small_source_regions;dark_mounting_board
p0218	raw_ocr_present_not_semantically_proofread	high-noise-layout-risk	p0201-p0234	visual_checked;mounted_slip_or_composite_layout;reading_order_risk;small_source_regions;dark_mounting_board
p0219	raw_ocr_present_not_semantically_proofread	high-noise-layout-risk	p0201-p0234	visual_checked;mounted_slip_or_composite_layout;reading_order_risk;small_source_regions;dark_mounting_board
p0220	raw_ocr_present_not_semantically_proofread	blank-no-substantive-visual	p0201-p0234	visual_checked;high_resolution_blank_control;visual_blank_or_no_substantive
p0221	raw_ocr_present_not_semantically_proofread	usable-with-noise-visual	p0201-p0234	visual_checked;larger_internally_linear_source_regions;retrieval_stronger_with_noise
p0222	raw_ocr_present_not_semantically_proofread	high-noise-layout-risk	p0201-p0234	visual_checked;mounted_slip_or_composite_layout;reading_order_risk;small_source_regions;dark_mounting_board
p0223	raw_ocr_present_not_semantically_proofread	high-noise-layout-risk	p0201-p0234	visual_checked;mounted_slip_or_composite_layout;reading_order_risk;small_source_regions;dark_mounting_board
p0224	raw_ocr_present_not_semantically_proofread	high-noise-layout-risk	p0201-p0234	visual_checked;mounted_slip_or_composite_layout;reading_order_risk;small_source_regions;dark_mounting_board
p0225	raw_ocr_present_not_semantically_proofread	high-noise-layout-risk	p0201-p0234	visual_checked;mounted_slip_or_composite_layout;reading_order_risk;small_source_regions;dark_mounting_board
p0226	raw_ocr_present_not_semantically_proofread	blank-no-substantive-visual	p0201-p0234	visual_checked;high_resolution_blank_control;visual_blank_or_no_substantive
p0227	raw_ocr_present_not_semantically_proofread	high-noise-layout-risk	p0201-p0234	visual_checked;mounted_slip_or_composite_layout;reading_order_risk;small_source_regions;dark_mounting_board
p0228	raw_ocr_present_not_semantically_proofread	high-noise-layout-risk	p0201-p0234	visual_checked;mounted_slip_or_composite_layout;reading_order_risk;small_source_regions;dark_mounting_board
p0229	raw_ocr_present_not_semantically_proofread	high-noise-layout-risk	p0201-p0234	visual_checked;mounted_slip_or_composite_layout;reading_order_risk;small_source_regions;dark_mounting_board
p0230	raw_ocr_present_not_semantically_proofread	high-noise-layout-risk	p0201-p0234	visual_checked;mounted_slip_or_composite_layout;reading_order_risk;small_source_regions;dark_mounting_board
p0231	raw_ocr_present_not_semantically_proofread	high-noise-layout-risk	p0201-p0234	visual_checked;mounted_slip_or_composite_layout;reading_order_risk;small_source_regions;dark_mounting_board
p0232	raw_ocr_present_not_semantically_proofread	high-noise-layout-risk	p0201-p0234	visual_checked;mounted_slip_or_composite_layout;reading_order_risk;small_source_regions;dark_mounting_board
p0233	raw_ocr_present_not_semantically_proofread	high-noise-layout-risk	p0201-p0234	visual_checked;mounted_slip_or_composite_layout;reading_order_risk;small_source_regions;dark_mounting_board
p0234	raw_ocr_present_not_semantically_proofread	high-noise-layout-risk	p0201-p0234	visual_checked;mounted_slip_or_composite_layout;reading_order_risk;small_source_regions;dark_mounting_board
