page_id	chars	class	packet	flags
p0001	0	blank-no-substantive	A1	baseline_empty_verified_blank
p0002	1055	high-noise	A1	mounted_slip_layout;reading_order_risk
p0003	294	high-noise	A1	mounted_slip_layout;reading_order_risk
p0004	0	blank-no-substantive	A1	baseline_empty_verified_blank
p0005	934	high-noise	A1	mounted_slip_layout;reading_order_risk;semantic_hallucination_generic_history_prose
p0006	82	high-noise	A1	mounted_slip_layout;reading_order_risk;severe_under_capture
p0007	0	blank-no-substantive	A1	baseline_empty_verified_blank
p0008	1052	high-noise	A1	mounted_slip_layout;reading_order_risk;semantic_hallucination_generated_modern_prose
p0009	672	high-noise	A1	mounted_slip_layout;reading_order_risk
p0010	0	blank-no-substantive	A1	baseline_empty_verified_blank
p0011	1015	high-noise	A1	mounted_slip_layout;reading_order_risk
p0012	1263	high-noise	A1	mounted_slip_layout;reading_order_risk
p0013	0	blank-no-substantive	A1	baseline_empty_verified_blank
p0014	887	high-noise	A1	mounted_slip_layout;reading_order_risk
p0015	1257	high-noise	A1	mounted_slip_layout;reading_order_risk
p0016	1265	high-noise	A1	mounted_slip_layout;reading_order_risk
p0017	0	false-empty-recovery	A1	baseline_empty_false_negative;mounted_slip_layout;reading_order_risk
p0018	0	blank-no-substantive	A1	baseline_empty_verified_blank
p0019	1257	high-noise	A1	mounted_slip_layout;reading_order_risk;semantic_hallucination_modern_2020_url_intrusion
p0020	2463	high-noise	A1	mounted_slip_layout;reading_order_risk
p0021	671	high-noise	A1	mounted_slip_layout;reading_order_risk
p0022	0	blank-no-substantive	A1	baseline_empty_verified_blank
p0023	0	blank-no-substantive	A1	baseline_empty_verified_blank
p0024	0	blank-no-substantive	A1	baseline_empty_verified_blank
p0025	918	high-noise	A1	mounted_slip_layout;reading_order_risk
p0026	1268	high-noise	A1	mounted_slip_layout;reading_order_risk
p0027	842	high-noise	A1	mounted_slip_layout;reading_order_risk
p0028	442	high-noise	A1	mounted_slip_layout;reading_order_risk
p0029	0	blank-no-substantive	A1	baseline_empty_verified_blank
p0030	958	high-noise	A1	mounted_slip_layout;reading_order_risk;semantic_hallucination_modern_generic_prose
p0031	2042	high-noise	A1	mounted_slip_layout;reading_order_risk;semantic_hallucination_geographic_intrusion
p0032	5	high-noise	A1	mounted_slip_layout;reading_order_risk;severe_under_capture
p0033	660	high-noise	A1	mounted_slip_layout;reading_order_risk
p0034	1219	high-noise	A1	mounted_slip_layout;reading_order_risk
p0035	0	false-empty-recovery	A1	baseline_empty_false_negative;mounted_slip_layout;reading_order_risk
