page_span	ocr_signal	class	segment	flags
p0081	raw_ocr_present_not_semantically_proofread	high-noise-layout-risk	p0081-p0120	visual_checked;mounted_slip_or_composite_layout;reading_order_risk;small_source_regions;dark_mounting_board
p0082	raw_ocr_present_not_semantically_proofread	blank-no-substantive-visual	p0081-p0120	visual_checked;blank_or_non_substantive_control;envelope_or_card_control;dark_mounting_board
p0083	raw_ocr_present_not_semantically_proofread	blank-no-substantive-visual	p0081-p0120	visual_checked;blank_or_non_substantive_control;envelope_or_card_control;dark_mounting_board
p0084	raw_ocr_present_not_semantically_proofread	high-noise-layout-risk	p0081-p0120	visual_checked;mounted_slip_or_composite_layout;reading_order_risk;small_source_regions;dark_mounting_board
p0085	raw_ocr_present_not_semantically_proofread	high-noise-layout-risk	p0081-p0120	visual_checked;mounted_slip_or_composite_layout;reading_order_risk;small_source_regions;dark_mounting_board
p0086	raw_ocr_present_not_semantically_proofread	high-noise-layout-risk	p0081-p0120	visual_checked;mounted_slip_or_composite_layout;reading_order_risk;small_source_regions;dark_mounting_board
p0087	raw_ocr_present_not_semantically_proofread	blank-no-substantive-visual	p0081-p0120	visual_checked;blank_or_non_substantive_control;envelope_or_card_control;dark_mounting_board
p0088	raw_ocr_present_not_semantically_proofread	short-text-or-nontext	p0081-p0120	visual_checked;short_text_or_nontext_control;dark_mounting_board;owner_or_address_card
p0089	raw_ocr_present_not_semantically_proofread	high-noise-layout-risk	p0081-p0120	visual_checked;mounted_slip_or_composite_layout;reading_order_risk;small_source_regions;dark_mounting_board
p0090	raw_ocr_present_not_semantically_proofread	high-noise-layout-risk	p0081-p0120	visual_checked;mounted_slip_or_composite_layout;reading_order_risk;small_source_regions;dark_mounting_board
p0091	raw_ocr_present_not_semantically_proofread	high-noise-layout-risk	p0081-p0120	visual_checked;mounted_slip_or_composite_layout;reading_order_risk;small_source_regions;dark_mounting_board
p0092	raw_ocr_present_not_semantically_proofread	blank-no-substantive-visual	p0081-p0120	visual_checked;blank_or_non_substantive_control;envelope_or_card_control;dark_mounting_board
p0093	raw_ocr_present_not_semantically_proofread	short-text-or-nontext	p0081-p0120	visual_checked;short_text_or_nontext_control;dark_mounting_board;owner_or_address_card
p0094	raw_ocr_present_not_semantically_proofread	high-noise-layout-risk	p0081-p0120	visual_checked;mounted_slip_or_composite_layout;reading_order_risk;small_source_regions;dark_mounting_board
p0095	raw_ocr_present_not_semantically_proofread	high-noise-layout-risk	p0081-p0120	visual_checked;mounted_slip_or_composite_layout;reading_order_risk;small_source_regions;dark_mounting_board
p0096	raw_ocr_present_not_semantically_proofread	high-noise-layout-risk	p0081-p0120	visual_checked;mounted_slip_or_composite_layout;reading_order_risk;small_source_regions;dark_mounting_board
p0097	raw_ocr_present_not_semantically_proofread	high-noise-layout-risk	p0081-p0120	visual_checked;mounted_slip_or_composite_layout;reading_order_risk;small_source_regions;dark_mounting_board
p0098	raw_ocr_present_not_semantically_proofread	short-text-or-nontext	p0081-p0120	visual_checked;short_text_or_nontext_control;dark_mounting_board;owner_or_address_card
p0099	raw_ocr_present_not_semantically_proofread	high-noise-layout-risk	p0081-p0120	visual_checked;mounted_slip_or_composite_layout;reading_order_risk;small_source_regions;dark_mounting_board
p0100	raw_ocr_present_not_semantically_proofread	high-noise-layout-risk	p0081-p0120	visual_checked;mounted_slip_or_composite_layout;reading_order_risk;small_source_regions;dark_mounting_board
p0101	raw_ocr_present_not_semantically_proofread	blank-no-substantive-visual	p0081-p0120	visual_checked;blank_or_non_substantive_control;envelope_or_card_control;dark_mounting_board
p0102	raw_ocr_present_not_semantically_proofread	short-text-or-nontext	p0081-p0120	visual_checked;short_text_or_nontext_control;dark_mounting_board;owner_or_address_card
p0103	raw_ocr_present_not_semantically_proofread	high-noise-layout-risk	p0081-p0120	visual_checked;mounted_slip_or_composite_layout;reading_order_risk;small_source_regions;dark_mounting_board
p0104	raw_ocr_present_not_semantically_proofread	high-noise-layout-risk	p0081-p0120	visual_checked;mounted_slip_or_composite_layout;reading_order_risk;small_source_regions;dark_mounting_board
p0105	raw_ocr_present_not_semantically_proofread	high-noise-layout-risk	p0081-p0120	visual_checked;mounted_slip_or_composite_layout;reading_order_risk;small_source_regions;dark_mounting_board
p0106	raw_ocr_present_not_semantically_proofread	high-noise-layout-risk	p0081-p0120	visual_checked;mounted_slip_or_composite_layout;reading_order_risk;small_source_regions;dark_mounting_board
p0107	raw_ocr_present_not_semantically_proofread	blank-no-substantive-visual	p0081-p0120	visual_checked;blank_or_non_substantive_control;envelope_or_card_control;dark_mounting_board
