global_page,page_id,chunk_id,page_in_chunk,chars,nonempty,quality_flags,inventory_refs,dates_1920_1935,years_1920_1935,entities_exact,fuzzy_candidates,project_terms,doc_signals,review_tier,review_reasons,layer_warning,manual_note
101,chunk_001:p0101,001,101,61,True,,,,,Laura Spelman Rockefeller Memorial;Rockefeller,,rockefeller_memorial,rockefeller_letterhead_or_text,C,research_signal,False,
145,chunk_001:p0145,001,145,61,True,,,,,Laura Spelman Rockefeller Memorial;Rockefeller,,rockefeller_memorial,rockefeller_letterhead_or_text,C,research_signal,False,
151,chunk_001:p0151,001,151,61,True,,,,,Laura Spelman Rockefeller Memorial;Rockefeller,,rockefeller_memorial,rockefeller_letterhead_or_text,C,research_signal,False,
169,chunk_001:p0169,001,169,61,True,,,,,Laura Spelman Rockefeller Memorial;Rockefeller,,rockefeller_memorial,rockefeller_letterhead_or_text,C,research_signal,False,
215,chunk_002:p0036,002,36,2856,True,,,,,,,musicology,,C,research_signal,False,
216,chunk_002:p0037,002,37,2941,True,html_scaffolding_removed,,,,,,musicology,,C,research_signal,False,
226,chunk_002:p0047,002,47,1103,True,,,,,,,musicology,,C,research_signal,False,
289,chunk_002:p0110,002,110,901,True,,,,,,,social_science,,C,research_signal,False,
308,chunk_002:p0129,002,129,932,True,,,,,,,social_science,,C,research_signal,False,
309,chunk_002:p0130,002,130,976,True,,,,,,,social_science,,C,research_signal,False,
376,chunk_003:p0014,003,14,613,True,html_scaffolding_removed,,,,,,musicology,,C,research_signal,False,
393,chunk_003:p0031,003,31,1145,True,html_scaffolding_removed,,,,,,musicology,,C,research_signal,False,
415,chunk_003:p0053,003,53,1140,True,,,,,,,musicology,,C,research_signal,False,
444,chunk_003:p0082,003,82,61,True,,,,,Laura Spelman Rockefeller Memorial;Rockefeller,,rockefeller_memorial,rockefeller_letterhead_or_text,C,research_signal,False,
728,chunk_005:p0040,005,40,1892,True,html_scaffolding_removed,,,,,,musicology,,C,research_signal,False,
731,chunk_005:p0043,005,43,1965,True,,,,,,,memorandum,report_or_memorandum,C,research_signal,False,
747,chunk_005:p0059,005,59,61,True,,,,,Laura Spelman Rockefeller Memorial;Rockefeller,,rockefeller_memorial,rockefeller_letterhead_or_text,C,research_signal,False,
1151,chunk_007:p0110,007,110,1608,True,,,,,,,anthropology,,C,research_signal,False,
1236,chunk_008:p0048,008,48,640,True,html_scaffolding_removed,,,,,,social_science,,C,research_signal,False,
1281,chunk_008:p0093,008,93,2702,True,,,,,,,social_science,,C,research_signal,False,
1283,chunk_008:p0095,008,95,6156,True,,,,,Huizinga,,anthropology,addressed_to_huizinga,C,research_signal,False,
1286,chunk_008:p0098,008,98,15066,True,,,,,,,anthropology;institution,,C,research_signal,False,
1288,chunk_008:p0100,008,100,7704,True,,,,,,,anthropology,,C,research_signal,False,
1297,chunk_008:p0109,008,109,8616,True,,,,1923,,,social_science,,C,research_signal,False,
1298,chunk_008:p0110,008,110,6860,True,,,12 September 1915;5 December 1908,,,,musicology,,C,research_signal,False,
1299,chunk_008:p0111,008,111,9453,True,,,,,,,social_science,,C,research_signal,False,
1435,chunk_010:p0034,010,34,1413,True,,,,,Rockefeller,,,,C,research_signal,False,
1771,chunk_012:p0017,012,17,1458,True,,,,1920,,,memorandum,,C,research_signal,False,
1844,chunk_012:p0090,012,90,1305,True,,,,,,,social_science,,C,research_signal,False,
1848,chunk_012:p0094,012,94,6642,True,,,,,Huizinga,,,,C,research_signal,False,
1856,chunk_012:p0102,012,102,863,True,,,,,,Nieuwenhuis|nienvenhuis|s2i0d0,,,C,research_signal,False,
1866,chunk_012:p0112,012,112,688,True,html_scaffolding_removed,,,,,,memorandum,report_or_memorandum,C,research_signal,False,
1892,chunk_012:p0138,012,138,956,True,html_scaffolding_removed,,20 Juni 1923,1923,Huizinga,,,addressed_to_huizinga,C,research_signal,False,
1896,chunk_012:p0142,012,142,122,True,,,2 JULI 1913,,Huizinga,,,,C,research_signal,False,
2025,chunk_013:p0110,013,110,1334,True,,,,,,,musicology,,C,research_signal,False,
2087,chunk_013:p0172,013,172,1606,True,,,,,,,social_science,,C,research_signal,False,
2088,chunk_013:p0173,013,173,1557,True,,,,,,,musicology,,C,research_signal,False,
2140,chunk_014:p0010,014,10,61,True,,,,,Laura Spelman Rockefeller Memorial;Rockefeller,,rockefeller_memorial,rockefeller_letterhead_or_text,C,research_signal,False,
2143,chunk_014:p0013,014,13,61,True,,,,,Laura Spelman Rockefeller Memorial;Rockefeller,,rockefeller_memorial,rockefeller_letterhead_or_text,C,research_signal,False,
2147,chunk_014:p0017,014,17,61,True,,,,,Laura Spelman Rockefeller Memorial;Rockefeller,,rockefeller_memorial,rockefeller_letterhead_or_text,C,research_signal,False,
2151,chunk_014:p0021,014,21,61,True,,,,,Laura Spelman Rockefeller Memorial;Rockefeller,,rockefeller_memorial,rockefeller_letterhead_or_text,C,research_signal,False,
2157,chunk_014:p0027,014,27,61,True,,,,,Laura Spelman Rockefeller Memorial;Rockefeller,,rockefeller_memorial,rockefeller_letterhead_or_text,C,research_signal,False,
2251,chunk_014:p0121,014,121,457,True,,,,1921;1923,,,memorandum,report_or_memorandum,C,research_signal,False,
