global_page,page_id,chunk_id,page_in_chunk,chars,nonempty,quality_flags,inventory_refs,dates_1920_1935,years_1920_1935,entities_exact,fuzzy_candidates,project_terms,doc_signals,review_tier,review_reasons,layer_warning,manual_note
7046,chunk_036:p0055,036,55,2140,True,html_scaffolding_removed,,,,,,memorandum,report_or_memorandum,C,research_signal,False,
7211,chunk_036:p0220,036,220,1107,True,,,,,,,social_science,,C,research_signal,False,
7286,chunk_037:p0055,037,55,1087,True,,,,,,,musicology,,C,research_signal,False,
7295,chunk_037:p0064,037,64,1488,True,,,,1926,,,institution;musicology,,C,research_signal,False,
7296,chunk_037:p0065,037,65,1267,True,html_scaffolding_removed,,,1930,,,musicology,,C,research_signal,False,
7307,chunk_037:p0076,037,76,678,True,,,,,,,musicology,,C,research_signal,False,
7388,chunk_037:p0157,037,157,1200,True,,,,1926,,,social_sciences_holland;social_science,,A,direct_social_sciences_holland_label;manual_review,False,Exact label 'FOR THE SOCIAL SCIENCES IN HOLLAND'; image review required.
7439,chunk_037:p0208,037,208,1048,True,,,,,Huizinga,,,,C,research_signal,False,
7523,chunk_038:p0049,038,49,1212,True,ocr_repetition_cleaned,,,,,,musicology,,C,research_signal,False,
7576,chunk_038:p0102,038,102,4482,True,,,,,Huizinga,,institution,,C,research_signal,False,
7578,chunk_038:p0104,038,104,4634,True,,,,1931;1932,Huizinga,,institution,,C,research_signal,False,
7581,chunk_038:p0107,038,107,2116,True,,,,1932,Huizinga,,,,C,research_signal,False,
7583,chunk_038:p0109,038,109,4073,True,,,,1932,Huizinga,,institution,,C,research_signal,False,
7585,chunk_038:p0111,038,111,4108,True,,,,1932,Huizinga,,institution,,C,research_signal,False,
7589,chunk_038:p0115,038,115,4900,True,,,,,,,institution;musicology,,C,research_signal,False,
7590,chunk_038:p0116,038,116,3866,True,,,,1932,Huizinga,,institution,,C,research_signal,False,
7591,chunk_038:p0117,038,117,4892,True,,,,,,,institution;musicology,,C,research_signal,False,
7594,chunk_038:p0120,038,120,3522,True,,,,,,,musicology,,C,research_signal,False,
7597,chunk_038:p0123,038,123,16368,True,,,,1932,Huizinga;Van de Sande Bakhuyzen,,musicology,addressed_to_huizinga,C,core_person_1931_1933;manual_review,False,False-positive control: 1932 Goethe commemoration newspaper report; not the anthropology/Rockefeller project.
7924,chunk_039:p0224,039,224,32,True,,,,,Huizinga,,,,C,research_signal,False,
8247,chunk_041:p0068,041,68,189,True,,,,,Huizinga,,,addressed_to_huizinga,C,research_signal,False,
8269,chunk_041:p0090,041,90,1868,True,,,18.8.2008,,,,anthropology,,C,research_signal,False,
8417,chunk_042:p0002,042,2,1464,True,html_scaffolding_removed,,,,,,musicology,,C,research_signal,False,
8445,chunk_042:p0030,042,30,615,True,html_scaffolding_removed,,19 December 1997,,Huizinga,,,,C,research_signal,False,
8447,chunk_042:p0032,042,32,626,True,html_scaffolding_removed,,,,Huizinga,,,,C,research_signal,False,
8539,chunk_042:p0124,042,124,2266,True,html_scaffolding_removed,,,,,Nieuwenhuis|nieuwenhij|s1i0d1,,,C,research_signal,False,
8680,chunk_043:p0043,043,43,3490,True,,,29 Dec 1877,,,,anthropology;institution,,C,research_signal,False,
8832,chunk_043:p0195,043,195,1464,True,,,,,,Van Eerde|van heerde|s0i1d0,,,C,research_signal,False,
8863,chunk_044:p0014,044,14,1577,True,,,,,,,memorandum,report_or_memorandum,C,research_signal,False,
9001,chunk_044:p0152,044,152,2335,True,,,,,Huizinga,,,,C,research_signal,False,
9059,chunk_044:p0210,044,210,1858,True,,,16 November 1907;13 Februari 1914;4 Juli 1902;25 Januari 1910,,Huizinga,,,,C,research_signal,False,
9063,chunk_044:p0214,044,214,3109,True,,,,,Van Eerde,,,,C,research_signal,False,
9125,chunk_045:p0060,045,60,1463,True,html_scaffolding_removed,,,,Huizinga,,,,C,research_signal,False,
9353,chunk_046:p0052,046,52,1694,True,,,,,,,anthropology,,C,research_signal,False,
9494,chunk_046:p0193,046,193,1782,True,,,,,,,musicology,,C,research_signal,False,
9543,chunk_047:p0029,047,29,1147,True,,,,,,,musicology,,C,research_signal,False,
9559,chunk_047:p0045,047,45,6686,True,html_scaffolding_removed,,,,,,musicology,,C,research_signal,False,
9718,chunk_047:p0204,047,204,1314,True,,,,,,,anthropology,,C,research_signal,False,
10063,chunk_049:p0094,049,94,1543,True,,,,,,,anthropology,,C,research_signal,False,
10132,chunk_049:p0163,049,163,2602,True,html_scaffolding_removed,,,,,,memorandum,,C,research_signal,False,
10472,chunk_051:p0059,051,59,4694,True,,,,,,,memorandum,report_or_memorandum,C,research_signal,False,
10644,chunk_052:p0028,052,28,2291,True,,,,,,,musicology,,C,research_signal,False,
10791,chunk_052:p0175,052,175,1707,True,,,,,,,memorandum,report_or_memorandum,C,research_signal,False,
11169,chunk_054:p0084,054,84,1199,True,html_scaffolding_removed;ocr_repeat_run_cleaned_v3,,,1923;1924;1925,George Welwood Murray;John D. Rockefeller Jr.;Laura Spelman Rockefeller Memorial;Raymond B. Fosdick;Rockefeller,,rockefeller_memorial,rockefeller_letterhead_or_text;rockefeller_trustees,C,research_signal,False,
11231,chunk_054:p0146,054,146,1898,True,,,18 mei 1924,1924,,,anthropology,,C,research_signal,False,
11311,chunk_054:p0226,054,226,925,True,,,,,,,memorandum,,C,research_signal,False,
11382,chunk_055:p0069,055,69,4514,True,,,,,Huizinga,,,,C,research_signal,False,
11391,chunk_055:p0078,055,78,723,True,,,,,,,musicology,,C,research_signal,False,
11405,chunk_055:p0092,055,92,922,True,html_scaffolding_removed,,,,Huizinga,,,,C,research_signal,False,
11410,chunk_055:p0097,055,97,1163,True,,,6 April 1920,1920,Huizinga,,,,C,research_signal,False,
11466,chunk_055:p0153,055,153,930,True,html_scaffolding_removed,,,,George Welwood Murray;John D. Rockefeller Jr.;Laura Spelman Rockefeller Memorial;Raymond B. Fosdick;Rockefeller,,rockefeller_memorial,rockefeller_letterhead_or_text;rockefeller_trustees,C,research_signal,False,
