page_id	scan_page	baseline_chars	class	notes
chunk_018:p0001	0001	2261	usable-with-noise	
chunk_018:p0002	0002	1820	usable-with-noise	
chunk_018:p0003	0003	1707	usable-with-noise	
chunk_018:p0004	0004	1484	usable-with-noise	
chunk_018:p0005	0005	1581	usable-with-noise	
chunk_018:p0006	0006	1596	usable-with-noise	
chunk_018:p0007	0007	1886	high-noise	v3 removed pathological inline repetition (x2024); surviving OCR still contains obvious corruption
chunk_018:p0008	0008	2093	usable-with-noise	
chunk_018:p0009	0009	1582	usable-with-noise	
chunk_018:p0010	0010	1731	usable-with-noise	
chunk_018:p0011	0011	1571	usable-with-noise	
chunk_018:p0012	0012	1510	usable-with-noise	
chunk_018:p0013	0013	2206	usable-with-noise	
chunk_018:p0014	0014	2204	usable-with-noise	
chunk_018:p0015	0015	1418	usable-with-noise	
chunk_018:p0016	0016	1672	usable-with-noise	
chunk_018:p0017	0017	1711	usable-with-noise	
chunk_018:p0018	0018	1759	usable-with-noise	
chunk_018:p0019	0019	1661	usable-with-noise	
chunk_018:p0020	0020	1446	usable-with-noise	
chunk_018:p0021	0021	1451	usable-with-noise	
chunk_018:p0022	0022	1659	usable-with-noise	
chunk_018:p0023	0023	1607	usable-with-noise	
chunk_018:p0024	0024	1576	usable-with-noise	
chunk_018:p0025	0025	1616	usable-with-noise	
chunk_018:p0026	0026	1957	usable-with-noise	
chunk_018:p0027	0027	1540	usable-with-noise	
chunk_018:p0028	0028	1546	usable-with-noise	
chunk_018:p0029	0029	1677	usable-with-noise	
chunk_018:p0030	0030	1662	usable-with-noise	
chunk_018:p0031	0031	1582	usable-with-noise	
chunk_018:p0032	0032	491	usable-with-noise	
chunk_018:p0033	0033	1822	usable-with-noise	
chunk_018:p0034	0034	2037	usable-with-noise	
chunk_018:p0035	0035	1730	usable-with-noise	
chunk_018:p0036	0036	1725	usable-with-noise	
chunk_018:p0037	0037	1573	usable-with-noise	
chunk_018:p0038	0038	1796	usable-with-noise	
chunk_018:p0039	0039	2146	usable-with-noise	
chunk_018:p0040	0040	1594	usable-with-noise	
chunk_018:p0041	0041	1864	usable-with-noise	
chunk_018:p0042	0042	2294	usable-with-noise	
chunk_018:p0043	0043	469	usable-with-noise	
chunk_018:p0044	0044	833	usable-with-noise	
chunk_018:p0045	0045	1537	usable-with-noise	
chunk_018:p0046	0046	1565	usable-with-noise	
chunk_018:p0047	0047	1481	usable-with-noise	
chunk_018:p0048	0048	1584	usable-with-noise	
chunk_018:p0049	0049	1436	usable-with-noise	
chunk_018:p0050	0050	1513	usable-with-noise	
chunk_018:p0051	0051	1659	usable-with-noise	
chunk_018:p0052	0052	764	usable-with-noise	
chunk_018:p0053	0053	1345	usable-with-noise	
chunk_018:p0054	0054	355	usable-with-noise	
chunk_018:p0055	0055	1673	usable-with-noise	
chunk_018:p0056	0056	2095	usable-with-noise	
chunk_018:p0057	0057	1553	usable-with-noise	
chunk_018:p0058	0058	1637	usable-with-noise	
chunk_018:p0059	0059	1442	usable-with-noise	
chunk_018:p0060	0060	1663	usable-with-noise	
chunk_018:p0061	0061	1934	usable-with-noise	
chunk_018:p0062	0062	1088	usable-with-noise	
chunk_018:p0063	0063	1869	usable-with-noise	
chunk_018:p0064	0064	1605	usable-with-noise	
chunk_018:p0065	0065	1665	usable-with-noise	
chunk_018:p0066	0066	765	usable-with-noise	
chunk_018:p0067	0067	1126	usable-with-noise	
chunk_018:p0068	0068	1562	usable-with-noise	
chunk_018:p0069	0069	1560	usable-with-noise	
chunk_018:p0070	0070	1673	usable-with-noise	
chunk_018:p0071	0071	1688	usable-with-noise	
chunk_018:p0072	0072	1703	usable-with-noise	
chunk_018:p0073	0073	1893	usable-with-noise	
chunk_018:p0074	0074	989	usable-with-noise	
chunk_018:p0075	0075	1521	usable-with-noise	
chunk_018:p0076	0076	2292	usable-with-noise	
chunk_018:p0077	0077	1559	usable-with-noise	
chunk_018:p0078	0078	1467	usable-with-noise	
chunk_018:p0079	0079	1942	usable-with-noise	
chunk_018:p0080	0080	1569	usable-with-noise	
chunk_018:p0081	0081	1610	usable-with-noise	
chunk_018:p0082	0082	1858	usable-with-noise	
chunk_018:p0083	0083	2329	usable-with-noise	
chunk_018:p0084	0084	1451	usable-with-noise	
chunk_018:p0085	0085	1548	usable-with-noise	
chunk_018:p0086	0086	1401	usable-with-noise	
chunk_018:p0087	0087	1559	usable-with-noise	
chunk_018:p0088	0088	1581	usable-with-noise	
chunk_018:p0089	0089	1490	usable-with-noise	
chunk_018:p0090	0090	1486	usable-with-noise	
chunk_018:p0091	0091	1540	usable-with-noise	
chunk_018:p0092	0092	1432	usable-with-noise	
chunk_018:p0093	0093	713	high-noise	compound layout with mounted small card and blank sheet; reading order/coverage unreliable
chunk_018:p0094	0094	1619	high-noise	compound mounted-card + full manuscript layout; baseline does not reliably preserve both components
chunk_018:p0095	0095	816	usable-with-noise	
chunk_018:p0096	0096	1100	usable-with-noise	
chunk_018:p0097	0097	1586	usable-with-noise	
chunk_018:p0098	0098	1653	usable-with-noise	
chunk_018:p0099	0099	1511	usable-with-noise	
chunk_018:p0100	0100	1507	usable-with-noise	
chunk_018:p0101	0101	1490	usable-with-noise	
chunk_018:p0102	0102	1281	usable-with-noise	
chunk_018:p0103	0103	1706	usable-with-noise	
chunk_018:p0104	0104	2136	usable-with-noise	
chunk_018:p0105	0105	1727	usable-with-noise	
chunk_018:p0106	0106	1628	usable-with-noise	
chunk_018:p0107	0107	1129	usable-with-noise	
chunk_018:p0108	0108	1024	usable-with-noise	
chunk_018:p0109	0109	1593	usable-with-noise	
chunk_018:p0110	0110	1690	usable-with-noise	
chunk_018:p0111	0111	1587	usable-with-noise	
