page_id	scan_page	baseline_chars	class	notes
chunk_023:p0001	0001	0	blank/no-substantive	blank sheet/divider; no substantive retrievable text
chunk_023:p0002	0002	1063	high-noise	small/mounted/compound continuation material from the `Europ. pol. gesch. rondom 1700` dossier; OCR under-captures handwriting and/or has unstable reading order; quotation unsafe without scan check
chunk_023:p0003	0003	32	high-noise	small/mounted/compound continuation material from the `Europ. pol. gesch. rondom 1700` dossier; OCR under-captures handwriting and/or has unstable reading order; quotation unsafe without scan check
chunk_023:p0004	0004	612	high-noise	small/mounted/compound continuation material from the `Europ. pol. gesch. rondom 1700` dossier; OCR under-captures handwriting and/or has unstable reading order; quotation unsafe without scan check
chunk_023:p0005	0005	1688	high-noise	small/mounted/compound continuation material from the `Europ. pol. gesch. rondom 1700` dossier; OCR under-captures handwriting and/or has unstable reading order; quotation unsafe without scan check
chunk_023:p0006	0006	682	high-noise	small/mounted/compound continuation material from the `Europ. pol. gesch. rondom 1700` dossier; OCR under-captures handwriting and/or has unstable reading order; quotation unsafe without scan check
chunk_023:p0007	0007	301	high-noise	small/mounted/compound continuation material from the `Europ. pol. gesch. rondom 1700` dossier; OCR under-captures handwriting and/or has unstable reading order; quotation unsafe without scan check
chunk_023:p0008	0008	221	high-noise	small/mounted/compound continuation material from the `Europ. pol. gesch. rondom 1700` dossier; OCR under-captures handwriting and/or has unstable reading order; quotation unsafe without scan check
chunk_023:p0009	0009	640	high-noise	small/mounted/compound continuation material from the `Europ. pol. gesch. rondom 1700` dossier; OCR under-captures handwriting and/or has unstable reading order; quotation unsafe without scan check
chunk_023:p0010	0010	336	high-noise	small/mounted/compound continuation material from the `Europ. pol. gesch. rondom 1700` dossier; OCR under-captures handwriting and/or has unstable reading order; quotation unsafe without scan check
chunk_023:p0011	0011	1048	high-noise	small/mounted/compound continuation material from the `Europ. pol. gesch. rondom 1700` dossier; OCR under-captures handwriting and/or has unstable reading order; quotation unsafe without scan check
chunk_023:p0012	0012	605	high-noise	small/mounted/compound continuation material from the `Europ. pol. gesch. rondom 1700` dossier; OCR under-captures handwriting and/or has unstable reading order; quotation unsafe without scan check
chunk_023:p0013	0013	900	high-noise	small/mounted/compound continuation material from the `Europ. pol. gesch. rondom 1700` dossier; OCR under-captures handwriting and/or has unstable reading order; quotation unsafe without scan check
chunk_023:p0014	0014	4	high-noise	two handwritten sheets with substantial content; baseline OCR collapses to `100.`
chunk_023:p0015	0015	489	high-noise	small/mounted/compound continuation material from the `Europ. pol. gesch. rondom 1700` dossier; OCR under-captures handwriting and/or has unstable reading order; quotation unsafe without scan check
chunk_023:p0016	0016	1458	high-noise	small/mounted/compound continuation material from the `Europ. pol. gesch. rondom 1700` dossier; OCR under-captures handwriting and/or has unstable reading order; quotation unsafe without scan check
chunk_023:p0017	0017	0	false-empty	baseline OCR empty; scan shows faint handwritten notes on a card marked `8`; false-empty recovery
chunk_023:p0018	0018	925	high-noise	small/mounted/compound continuation material from the `Europ. pol. gesch. rondom 1700` dossier; OCR under-captures handwriting and/or has unstable reading order; quotation unsafe without scan check
chunk_023:p0019	0019	1328	high-noise	small/mounted/compound continuation material from the `Europ. pol. gesch. rondom 1700` dossier; OCR under-captures handwriting and/or has unstable reading order; quotation unsafe without scan check
chunk_023:p0020	0020	415	high-noise	small/mounted/compound continuation material from the `Europ. pol. gesch. rondom 1700` dossier; OCR under-captures handwriting and/or has unstable reading order; quotation unsafe without scan check
chunk_023:p0021	0021	153	high-noise	small/mounted/compound continuation material from the `Europ. pol. gesch. rondom 1700` dossier; OCR under-captures handwriting and/or has unstable reading order; quotation unsafe without scan check
chunk_023:p0022	0022	1970	usable-with-noise	
chunk_023:p0023	0023	2904	usable-with-noise	
chunk_023:p0024	0024	1390	usable-with-noise	
chunk_023:p0025	0025	1612	usable-with-noise	
chunk_023:p0026	0026	1965	usable-with-noise	
chunk_023:p0027	0027	405	high-noise	small/mounted/compound continuation material from the `Europ. pol. gesch. rondom 1700` dossier; OCR under-captures handwriting and/or has unstable reading order; quotation unsafe without scan check
