page	pdf	verification	json_action	note
p0041	chunk_067__p0041-0080.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0042	chunk_067__p0041-0080.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0043	chunk_067__p0041-0080.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0044	chunk_067__p0041-0080.pdf	checked_against_original_pdf	drop_block	corrected JSON and audit ledger updated
p0045	chunk_067__p0041-0080.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0046	chunk_067__p0041-0080.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0047	chunk_067__p0041-0080.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0048	chunk_067__p0041-0080.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0049	chunk_067__p0041-0080.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0050	chunk_067__p0041-0080.pdf	checked_against_original_pdf	drop_block	corrected JSON and audit ledger updated
p0051	chunk_067__p0041-0080.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0052	chunk_067__p0041-0080.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0053	chunk_067__p0041-0080.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0054	chunk_067__p0041-0080.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0055	chunk_067__p0041-0080.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0056	chunk_067__p0041-0080.pdf	checked_against_original_pdf	replace_block;replace_block;replace_block;replace_block;replace_block	corrected JSON and audit ledger updated
p0057	chunk_067__p0041-0080.pdf	checked_against_original_pdf	drop_block;drop_block;replace_block;replace_block;replace_block	corrected JSON and audit ledger updated
p0058	chunk_067__p0041-0080.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0059	chunk_067__p0041-0080.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0060	chunk_067__p0041-0080.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0061	chunk_067__p0041-0080.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0062	chunk_067__p0041-0080.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0063	chunk_067__p0041-0080.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0064	chunk_067__p0041-0080.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0065	chunk_067__p0041-0080.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0066	chunk_067__p0041-0080.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0067	chunk_067__p0041-0080.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0068	chunk_067__p0041-0080.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0069	chunk_067__p0041-0080.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0070	chunk_067__p0041-0080.pdf	checked_against_original_pdf	replace_block;replace_block	corrected JSON and audit ledger updated
p0071	chunk_067__p0041-0080.pdf	checked_against_original_pdf	replace_block;replace_block;replace_block;replace_block;replace_block;replace_block;replace_block	corrected JSON and audit ledger updated
p0072	chunk_067__p0041-0080.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0073	chunk_067__p0041-0080.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0074	chunk_067__p0041-0080.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0075	chunk_067__p0041-0080.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0076	chunk_067__p0041-0080.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0077	chunk_067__p0041-0080.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0078	chunk_067__p0041-0080.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0079	chunk_067__p0041-0080.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0080	chunk_067__p0041-0080.pdf	checked_against_original_pdf	drop_block	corrected JSON and audit ledger updated
p0161	chunk_067__p0161-0200.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0162	chunk_067__p0161-0200.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0163	chunk_067__p0161-0200.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0164	chunk_067__p0161-0200.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0165	chunk_067__p0161-0200.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0166	chunk_067__p0161-0200.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0167	chunk_067__p0161-0200.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0168	chunk_067__p0161-0200.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0169	chunk_067__p0161-0200.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0170	chunk_067__p0161-0200.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0171	chunk_067__p0161-0200.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
