page	block_count	markdown_len	all_block_text_len	labels	markdown_preview
1	0	0	0		
8	9	1899	1927	header,header,table,table,table,table,text,text,table	<table border=1 style='margin: auto; word-wrap: break-word;'><tr><td style='text-align: center; word-wrap: break-word;'>Kemint hoat is sacrole wored,Sia ist ihres Wass neels lgalms
10	0	0	0		
14	0	0	0		
19	0	0	0		
22	17	10892	10940	text,text,text,text,text,text,text,text,text,text,text,text,text,text,footer_image,text,footer	in de spoon is, ear, midola, nicarasp, vertrissues, plea- lip vertorsis (presentence), vescosp. des pecterculis, especl. o. gemesentap Xie Xiaoli Xiaoang Chai Zhi and XiaoXi Xiaoao
23	17	9406	9447	text,text,text,text,text,text,text,text,text,text,text,footer_image,text,text,text,text,text	Marina, Annale 400. x1.111.119. 2011.13.7 296. Army 170 (be 91) à des débuts n'est pas portétiennant que des photais à paractics. PW.Suppl.N. Ludi publici 615 Aupreandt al.Spragabe
29	1	6	6	paragraph_title	## Les
30	0	0	0		
33	0	0	0		
35	16	5520	5551	header,number,image,text,text,text,text,text,table,text,text,text,text,text,text,text	"<div style=""text-align: center;""><img src=""imgs/img_in_image_box_314_291_1145_1829.jpg"" alt=""Image"" width=""28%"" /> <div style=""text-align: center;""><img src=""imgs/img_in_image_box_"
37	0	0	0		
39	17	5206	5220	text,text,text,text,text,text,text,text,header,text,text,text,text,text,text,text,text	RECTOR MAGNIFICUS DEF eer U hiermede bepa $ 20 \times 1 $, 0.20, $ 30 \times 1^{1/2} $, 0.45, $ 30 \times 3 $, 0.90, $ 50 \times 6 $, 3. The tique c'est moignage sincé de la positi
41	0	0	0		
44	16	5387	5418	header,number,text,text,image,text,text,text,text,text,text,text,text,text,text,text	abaldam con Gona Giografic cofactorialo horretor doos ocorron limmeramund oppor solo doa andereos oúo hem Remix. Not onscor on order Sail. Dient Beida, see Ata I do send. Well and 
46	0	0	0		
50	1	5	5	paragraph_title	## no
51	0	0	0		
55	16	2116	2147	header,text,text,header,text,text,text,image,text,text,text,text,text,text,text,text	Agaes monteens Temps sont ho Agoes en cristou De Sociale-poy Woodman Zijs be Pig von wat za Zooie te komen, z I envy, don zuella her script. Broadeaker does in dolija hab uniga 22.
56	15	2555	2589	header,text,text,number,text,text,text,text,header,text,text,paragraph_title,text,text,text	not beyond, do washer items to branding is also co-booked men hot cutsmoke gromter you hot lo vieillasse que lo décadence mi les faillesses d'ég l'à: la femme est cinquante, et la 
57	10	6405	6405	vision_footnote,text,text,text,text,text,text,text,text,table	Volwassen menschen, Wereldbibliotheek, Amsterdam, 1928. 6) Karl Groos, Die Spiele der Menschen, 1899, p. 13. 7) Onverklaard blijft b.v. de samenhang met de grondbeteekenis in kersp
59	0	0	0		
65	0	0	0		
66	12	3132	3147	text,number,table,table,table,table,table,table,text,table,table,table	Roma.staat Byzanticum <table border=1 style='margin: auto; word-wrap: break-word;'><tr><td style='text-align: center; word-wrap: break-word;'>D.50.</td><td style='text-align: cente
70	6	2379	2412	text,text,number,number,footer,footer	Wij komen tot een gebied, waar men misschien van den spelfactor geen enkel spoor verwachten zou, dat van bedrijfsleven en ruilverkeer. Ten opzichte van de uitwisseling der begeerde
71	12	4533	4571	header,header,text,text,header,text,text,header,text,text,text,number	door een wedloop, een worp van een bijl, een aanraking in den blinde, of door de primitieve roulette van een rollend ei 34). Onoplosbaar vermengen zich hier ernstig belang en spelv
72	17	4336	4375	header,header,header,text,text,text,header,text,paragraph_title,text,number,text,text,text,text,text,text	sprong van den gewonen handel om louter nut, deze gaat ermee gepaard als iets ondergeschikts van lager orde, terwijl de kula ruilverkeer in cultusvorm zou kunnen heeten. Eerst door
73	19	3270	3300	header,header,number,text,text,text,text,text,text,text,text,text,text,table,text,text,text,text,text	New Guinea, London, 1922; vgl. van denzelfden schrijver Crime and Custom in Savage Society, London, 1926. 26) M. Mauss, Essai sur le Don, Forme archaïque de l'échange, L'année soci
74	15	1996	2030	header,header,number,table,text,text,text,text,text,text,text,text,text,text,text	"<table border=1 style='margin: auto; word-wrap: break-word;'><tr><td colspan=""2"">De F</td></tr><tr><td colspan=""2"">heeft de</td></tr><tr><td style='text-align: center; word-wrap: b"
75	14	1864	1890	header,number,table,text,table,text,text,text,text,text,text,text,text,text	"<table border=1 style='margin: auto; word-wrap: break-word;'><tr><td colspan=""2"">153. Rainbow</td></tr><tr><td style='text-align: center; word-wrap: break-word;'>pride, advice, dat"
76	1	0	12	header	
77	0	0	0		
80	5	4431	4473	header,text,text,footer,number	2020. 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 
81	0	0	0		
84	18	2160	2188	header,number,text,text,table,text,text,text,text,text,text,text,text,text,text,text,text,text	pädagogischverste Eröffnung hat werkschließung was deshalb? Wasern niet. Rov dan deze poïxie, die trif wil werden, deel van die in deze roege ge- I don't know how much I would. I a
86	0	0	0		
92	0	0	0		
95	0	0	0		
98	0	0	0		
104	0	0	0		
107	0	0	0		
110	0	0	0		
113	0	0	0		
117	0	0	0		
118	12	8132	8132	table,table,table,table,table,table,table,table,table,image,table,text	<table border=1 style='margin: auto; word-wrap: break-word;'><tr><td style='text-align: center; word-wrap: break-word;'>Buck, 50/41, and a retiring spoon on sport.</td></tr></table
120	0	0	0		
122	13	1877	1904	header,header,text,text,text,text,text,text,text,text,text,text,text	la principa moms que dot , il s'agit seulament de societal ysta do d'oli dans la type certaine à in die Waita das Umandoi assicazos. L'Heizlinga and a contesting step and solicits 
126	0	0	0		
127	0	0	0		
129	23	4210	4237	header,header,text,text,text,text,text,text,text,text,text,text,text,table,table,text,text,table,table,text,text,table,text	isool of interno as the local car Stance meant quite an- a much bigger thing, than have been born along链迹 2 intersecunda. First he during of international realms operational servic
131	14	2198	2213	text,text,text,text,text,text,text,text,text,text,text,text,header,text	most is not the het Christoech, he see Arimitiap Xo interiskoloo ho digh. Tapenau is a physical, beabau de book腹深居空想，空谈空谈，空谈空谈，空谈空谈 even soon / soon even to on hot verdict only cat
132	15	4460	4510	header,header,text,text,text,text,text,header,text,text,text,text,text,text,text	dat. Si a seguema über Stochdacken ist nur zu oft nie diese De erwuit u.t.goem evornim belocrode die was baarde ald de troeide en die amide hande bezoet geel La emollen met dan ver
133	19	4688	4797	header,header,header,header,header,text,text,text,text,text,text,number,text,text,text,text,text,text,text	om zijn spelkarakter in het algemeen, maar als specifiek voorbeeld van wedijverend, wederkeerig weeldevertoon en spilziek onthaal. Het feest van den hertog vormde het slot van een 
134	7	2043	2059	header,number,text,text,text,text,text	Is het noodig, dit spel-element der exaggeratie door de poëzie van alle eeuwen heen te vervolgen? Emile Faguet heeft ergens gesproken van „le grain de sottise nécessaire au lyrique
135	0	0	0		
138	0	0	0		
141	19	3150	3174	header,header,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text	look look, look ieza, en da mende in den hoogsten 2 deux que parmi poutant de politique aux moy poutants ils y enf moyins, la suggestion des ci-ciés de lais génération et de fondai
142	29	6772	6785	header,text,text,text,text,doc_title,paragraph_title,paragraph_title,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text	min schijn en werkelijkheid een oogenblik worden verward (ook door het kind niet), laat zich enkel als een bestaande antinomie constateeren. Strija bedeutet niet unitsuitend voente
143	27	4484	4538	header,header,number,header,text,doc_title,text,text,text,text,text,text,text,text,text,paragraph_title,paragraph_title,text,text,text,image,text,text,text,text,text,text	Tweede Kamer. # Begrooting Landbouwcrisisfonds. gegewone dienst sluit met een batig saldo van f 46,700; e kapitaaldienst met een nadeelig saldo van f 18,180,000. een wijzigingen in
145	0	0	0		
150	25	2953	2980	text,paragraph_title,text,text,text,text,text,paragraph_title,paragraph_title,text,text,text,text,text,text,text,text,text,text,text,text,text,text,footer,footer	We hebben in het ochtendblad van jl. Donderdag op gezag van een telegraafgentschap gemeld, dat de sowjetoverheid van eenige kolchozy, die niet naar behoon en aan hun verplichtingen
151	37	7438	7465	header,header,paragraph_title,text,paragraph_title,text,paragraph_title,text,text,text,text,text,text,text,text,paragraph_title,text,doc_title,text,paragraph_title,text,text,text,text,text,text,text,text,text,text,paragraph_title,text,paragraph_title,text,text,text,text	### E COURANT. — ZA boekjes schreef hij een standaardwerk over: De Afscheliding in haar wording en begin-periode, waarvan een vervolg ter perse is. Even-eens schreef hij een standa
152	16	2616	2630	header,text,text,text,image,text,text,text,text,text,text,doc_title,text,text,text,text	de buitenlandsche pers, o.a. in de Revue des Deux-Mondes, verschenen, hebben de aandacht gevestigd op de positie van Belgisch-Limburg, in gevaal van een onverwachten Duitschen inva
153	0	0	0		
159	0	0	0		
162	0	0	0		
163	14	1855	1869	text,header,text,text,text,text,text,text,text,table,text,table,table,table	Votes de dictation leidt $ulr Starkens. uzais Qig Saxo 21. 2008.181. Socials functions u. Sappho en Alcoruit. Vogt 112/3. Unfinite de Dye in Becco 119. hister. wissers des Dyle. ug
166	0	0	0		
169	0	0	0		
174	0	0	0		
178	0	0	0		
183	0	0	0		
